"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Houston [[Rockets]] [[Team]] [[Report]] - [[December]] [[3]] ([[Sports]] Network) - [[The]] [[Houston]] Rockets [[fell]] to the [[Dallas]] [[Mavericks]] in overtime, 113-106, at AmericanAirlines [[Center]] on Thursday. Tracy McGrady also had an excellent game, [[scoring]] a season-high [[48]] [[points]] on","Houston [[the]] [[franchise]] [[guide]] - [[volume]] [[iii]] ([[power]] Network) - [[were]] [[the]] Rockets [[lost]] to the [[jazz]] [[jazz]] in overtime, 113-106, at AmericanAirlines [[plaza]] on Thursday. Tracy McGrady also had an excellent game, [[including]] a season-high [[six]] [[steal]] on",0.0005427002906799316,0.012367725372314453,1,1,1,177,"Failed"
"DIY [[print]] boom [[DIGITAL]] [[photography]] [[continues]] to [[grow]] at a phenomenal [[rate]]. The [[ability]] to [[review]] images seconds after [[capture]], [[download]] and manipulate them on a [[personal]] [[computer]] and [[either]] [[burn]] them on to a [[blank]] [[CD]] or","DIY [[press]] boom [[professional]] [[photographers]] [[is]] to [[growth]] at a phenomenal [[fast]]. The [[skill]] to [[view]] images seconds after [[capturing]], [[preview]] and manipulate them on a [[simple]] [[machine]] and [[or]] [[screen]] them on to a [[paper]] [[record]] or",0.03484141826629639,0.3350754976272583,3,3,3,188,"Failed"
"[[Oil]] extends advances Gold broke the \$450 a troy [[ounce]] [[level]] on [[Thursday]] for the [[first]] [[time]] [[since]] [[June]] [[1988]] as the [[dollar]] [[fell]] to a [[record]] [[low]] against the euro.","[[a]] extends advances Gold broke the \$450 a troy [[kg]] [[mark]] on [[the]] for the [[debut]] [[place]] [[in]] [[august]] [[1989]] as the [[dollars]] [[was]] to a [[far]] [[down]] against the euro.",0.0305975079536438,0.16877532005310059,2,2,2,138,"Failed"
"[[New]] iMac Could [[Give]] [[Apple]] a Needed Boost [[Apple]] has been gaining share in the higher-margin laptop business, and its [[iPod]] franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of [[9]].[[6]] percent in [[1991]] to [[2]] [[percent]] last [[year]].","[[a]] iMac Could [[buy]] [[microsoft]] a Needed Boost [[microsoft]] has been gaining share in the higher-margin laptop business, and its [[iphone]] franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of [[11]].[[0]] percent in [[2011]] to [[two]] [[billion]] last [[season]].",0.07488101720809937,0.5856931209564209,3,2,3,128,"Successful"
"HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.","HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.",0.8701464533805847,0.8701464533805847,3,3,2,1,"Skipped"
"Madonna weighs in on [[Iraq]] Madonna made a rare foray into [[politics]] Tuesday, calling for her [[home]] country to withdraw its [[troops]] from [[Iraq]] during an interview with [[British]] radio, reports Agence France-Presse.","Madonna weighs in on [[turkey]] Madonna made a rare foray into [[us]] Tuesday, calling for her [[state]] country to withdraw its [[units]] from [[turkey]] during an interview with [[american]] radio, reports Agence France-Presse.",0.0019818544387817383,0.601151704788208,0,2,0,77,"Successful"
"Politically Savvy [[IT]] Managers Key to [[Grid]] [[Project]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on [[grid]] computing projects could get some tips from the candidates in this [[election]] season.","Politically Savvy [[office]] Managers Key to [[park]] [[site]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on [[a]] computing projects could get some tips from the candidates in this [[the]] season.",0.03068476915359497,0.5058908462524414,3,2,3,76,"Successful"
"Google Opens Office in Microsoft #39;s Backyard [[Google]] Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Opens Office in Microsoft #39;s Backyard [[android]] Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",0.3045641779899597,0.6209654808044434,2,3,2,31,"Successful"
"Ferrero, Scheuttler [[come]] up short, Safin [[cruises]] in [[China]] [[Open]] Juan [[Carlos]] Ferrero #39;s [[hope]] of a [[first]] [[ATP]] title was [[left]] in tatters at the [[China]] [[Open]] on [[Thursday]] when the [[second]] [[seed]] was [[beaten]] by [[Kevin]] [[Kim]] from the [[United]] States.","Ferrero, Scheuttler [[place]] up short, Safin [[yacht]] in [[gold]] [[challenge]] Juan [[jose]] Ferrero #39;s [[dreams]] of a [[world]] [[tennis]] title was [[ended]] in tatters at the [[kong]] [[final]] on [[the]] when the [[first]] [[candidate]] was [[challenged]] by [[shaun]] [[sim]] from the [[international]] States.",0.0007444024085998535,0.0026107430458068848,1,1,1,198,"Failed"
"Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.","Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.",0.7742176651954651,0.7742176651954651,2,2,3,1,"Skipped"
