"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Houston [[Rockets]] [[Team]] Report - [[December]] 3 ([[Sports]] Network) - The Houston Rockets fell to the Dallas Mavericks in overtime, [[113-106]], at [[AmericanAirlines]] [[Center]] on Thursday. [[Tracy]] [[McGrady]] also had an excellent game, [[scoring]] a [[season-high]] [[48]] [[points]] on","Houston [[Rockents]] [[Tema]] Report - [[Tecember]] 3 ([[Smports]] Network) - The Houston Rockets fell to the Dallas Mavericks in overtime, [[131-106]], at [[AmerianAirlines]] [[VCenter]] on Thursday. [[Tray]] [[McGradr]] also had an excellent game, [[coring]] a [[seasbn-high]] [[4]] [[ponts]] on",0.0005427002906799316,0.0019728541374206543,1,1,1,136,"Failed"
"[[DIY]] [[print]] boom [[DIGITAL]] [[photography]] continues to grow at a phenomenal rate. The ability to review images seconds after capture, [[download]] and manipulate them on a personal [[computer]] and either [[burn]] them on to a [[blank]] [[CD]] or","[[IDY]] [[prynt]] boom [[DIITAL]] [[photographxy]] continues to grow at a phenomenal rate. The ability to review images seconds after capture, [[dowlnoad]] and manipulate them on a personal [[comptuer]] and either [[bun]] them on to a [[blnk]] [[DC]] or",0.03484141826629639,0.6432863473892212,3,2,3,87,"Successful"
"[[Oil]] [[extends]] [[advances]] [[Gold]] [[broke]] the \$450 a troy [[ounce]] level on [[Thursday]] for the first time since [[June]] 1988 as the dollar fell to a record low against the euro.","[[il]] [[xetends]] [[advancds]] [[nold]] [[bzroke]] the \$450 a troy [[uonce]] level on [[Thusrday]] for the first time since [[Juke]] 1988 as the dollar fell to a record low against the euro.",0.0305975079536438,0.8888787627220154,2,3,2,96,"Successful"
"New [[iMac]] Could [[Give]] [[Apple]] a Needed Boost [[Apple]] has been gaining share in the higher-margin [[laptop]] business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a [[peak]] of 9.6 percent in [[1991]] to 2 [[percent]] [[last]] year.","New [[iaMc]] Could [[GVve]] [[Aplpe]] a Needed Boost [[Aple]] has been gaining share in the higher-margin [[latop]] business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a [[peka]] of 9.6 percent in [[191]] to 2 [[peprcent]] [[alst]] year.",0.07488101720809937,0.547045111656189,3,2,3,80,"Successful"
"[[Charity]] [[boss]] [[kidnapped]] in [[Iraq]] A director of an [[international]] [[charity]] in [[Iraq]] has been kidnapped as she was being [[driven]] to [[work]] in [[Baghdad]]. [[Margaret]] [[Hassan]], a British-born [[Iraqi]] [[national]], was abducted in the capital, [[CARE]] [[International]] UK [[said]] in London.","[[CharXity]] [[obss]] [[kidnappyd]] in [[Irqa]] A director of an [[inRternational]] [[Wcharity]] in [[Irqa]] has been kidnapped as she was being [[diven]] to [[gwork]] in [[Baghad]]. [[Margraet]] [[Hassakn]], a British-born [[Ijaqi]] [[naUtional]], was abducted in the capital, [[CRAE]] [[Iqternational]] UK [[saPd]] in London.",0.0006949901580810547,0.1761128306388855,0,0,0,117,"Failed"
"HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.","HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.",0.8701464533805847,0.8701464533805847,3,3,2,1,"Skipped"
"Madonna weighs in on [[Iraq]] Madonna made a rare foray into [[politics]] Tuesday, [[calling]] for her [[home]] [[country]] to withdraw its [[troops]] from [[Iraq]] during an interview with [[British]] radio, [[reports]] Agence France-Presse.","Madonna weighs in on [[rIaq]] Madonna made a rare foray into [[politcs]] Tuesday, [[ucalling]] for her [[ome]] [[countrxy]] to withdraw its [[troXops]] from [[IMaq]] during an interview with [[ritish]] radio, [[repors]] Agence France-Presse.",0.0019818544387817383,0.9602121114730835,0,3,0,57,"Successful"
"Politically [[Savvy]] [[IT]] Managers Key to [[Grid]] [[Project]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on [[grid]] [[computing]] projects could get some tips from the candidates in this [[election]] season.","Politically [[avvy]] [[FIT]] Managers Key to [[Gird]] [[Preject]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on [[grdi]] [[comXputing]] projects could get some tips from the candidates in this [[elcetion]] season.",0.03068476915359497,0.5105825066566467,3,2,3,59,"Successful"
"Google Opens Office in Microsoft #39;s Backyard [[Google]] Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Opens Office in Microsoft #39;s Backyard [[GEoogle]] Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",0.3045641779899597,0.6478472948074341,2,3,2,30,"Successful"
"Ferrero, [[Scheuttler]] [[come]] up short, [[Safin]] [[cruises]] in China [[Open]] [[Juan]] [[Carlos]] [[Ferrero]] #39;s hope of a first [[ATP]] title was [[left]] in tatters at the [[China]] [[Open]] on [[Thursday]] when the [[second]] [[seed]] was beaten by [[Kevin]] [[Kim]] from the [[United]] States.","Ferrero, [[Scheuttlecr]] [[comQe]] up short, [[OSafin]] [[cruioses]] in China [[Oepen]] [[Jean]] [[Carpos]] [[Ferretro]] #39;s hope of a first [[APT]] title was [[lfet]] in tatters at the [[xChina]] [[Opev]] on [[Tursday]] when the [[seocnd]] [[seeW]] was beaten by [[Keivn]] [[Km]] from the [[Untied]] States.",0.0007444024085998535,0.010482370853424072,1,1,1,119,"Failed"
"Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.","Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.",0.7742176651954651,0.7742176651954651,2,2,3,1,"Skipped"
"[[Badgers]] [[fans]] [[hyped]] about teams undefeated season [[Never]] in the University of Wisconsin [[football]] [[programs]] [[115-year]] history have the [[Badgers]] been 10-0. That [[could]] [[happen]] [[today]] in [[East]] Lansing, Mich.","[[BadgeIrs]] [[Zfans]] [[hypeC]] about teams undefeated season [[eNver]] in the University of Wisconsin [[foovtball]] [[rpograms]] [[115-eyar]] history have the [[BDadgers]] been 10-0. That [[gcould]] [[happeU]] [[Ztoday]] in [[Eat]] Lansing, Mich.",0.0007913708686828613,0.014225959777832031,1,1,1,99,"Failed"
"Rights [[activist]] [[blasts]] Putin A [[leading]] [[human]] [[rights]] [[activist]] has poured scorn over Russian President [[Vladimir]] Putin #[[39]];s hardline policy in [[breakaway]] [[Chechnya]] and [[urged]] him to negotiate with [[Chechen]] [[leader]] Aslan [[Maskhadov]].","Rights [[acytivist]] [[blasst]] Putin A [[eading]] [[huma]] [[ights]] [[acitvist]] has poured scorn over Russian President [[VladiLir]] Putin #[[93]];s hardline policy in [[breYkaway]] [[Chechnsya]] and [[uIged]] him to negotiate with [[Chechne]] [[leaedr]] Aslan [[Msskhadov]].",0.0007073879241943359,0.004171550273895264,0,0,0,99,"Failed"
"[[Storm]] wins [[WNBA]] title, [[beating]] Connecticut [[74-60]] [[Betty]] Lennox and the Seattle Storm [[gave]] the city its first major professional [[sports]] title in [[25]] years -- and made Anne Donovan the first female championship [[coach]] in WNBA history.","[[Strom]] wins [[WNGBA]] title, [[peating]] Connecticut [[74-0]] [[Bett]] Lennox and the Seattle Storm [[gae]] the city its first major professional [[eports]] title in [[2u]] years -- and made Anne Donovan the first female championship [[oach]] in WNBA history.",0.0006930828094482422,0.001259148120880127,1,1,1,145,"Failed"
"[[Weak]] [[industrial]] [[output]] weighs on British [[growth]] (AFP) AFP - Britain's [[industrial]] [[sector]] [[appears]] to have been a [[bigger]] [[drag]] on [[overall]] economic growth in the third [[quarter]] than was first [[assumed]].","[[Weqak]] [[indusftrial]] [[ouPput]] weighs on British [[rgowth]] (AFP) AFP - Britain's [[industriJal]] [[sectOor]] [[appaers]] to have been a [[igger]] [[dra]] on [[ovGerall]] economic growth in the third [[quater]] than was first [[assued]].",0.08198302984237671,0.5234904289245605,2,0,2,84,"Successful"
"[[Debian]] rejects [[Sender]] [[ID]] [[The]] [[Debian]] [[Linux]] group will not deploy the [[Sender]] [[ID]] anti-spam standard, because Microsoft #39;s [[license]] [[terms]] do not [[fit]] within its [[free-software]] guidelines.","[[Derian]] rejects [[Sendqer]] [[IYD]] [[TCe]] [[Debina]] [[Lnux]] group will not deploy the [[SendBer]] [[LID]] anti-spam standard, because Microsoft #39;s [[liIense]] [[tecms]] do not [[fiet]] within its [[kree-software]] guidelines.",0.005462944507598877,0.010450601577758789,3,3,3,86,"Failed"
"[[DaimlerChrysler]], [[GM]] [[team]] on hybrids DaimlerChrysler and [[General]] Motors will [[jointly]] develop new [[hybrid]] motors to [[compete]] against Japanese rivals on the fuel-saving [[technology]] that [[reduces]] [[harmful]] emissions, the [[companies]] [[said]] Monday.","[[DaimleChrysler]], [[MG]] [[tema]] on hybrids DaimlerChrysler and [[Genreal]] Motors will [[jointlJ]] develop new [[hbrid]] motors to [[Bcompete]] against Japanese rivals on the fuel-saving [[techVnology]] that [[reduceGs]] [[harmbful]] emissions, the [[companeis]] [[sid]] Monday.",0.024983525276184082,0.564358115196228,2,3,2,84,"Successful"
"Free gin for [[UK]] juniper [[spotters]] The first volunteers to sign up for a [[survey]] of the [[endangered]] juniper [[shrub]] in Britain will win a free bottle of gin.","Free gin for [[U]] juniper [[spoters]] The first volunteers to sign up for a [[surZey]] of the [[endangereA]] juniper [[hrub]] in Britain will win a free bottle of gin.",0.04389435052871704,0.8451266288757324,3,2,3,37,"Successful"
"S. [[Carolina]] Gets [[Spurrier]] [[Steve]] [[Spurrier]] takes over at South Carolina on Tuesday, [[returning]] to the [[college]] [[ranks]] after a [[three-year]] absence, and replacing [[Lou]] [[Holtz]].","S. [[CaroAlina]] Gets [[Spurier]] [[SteZe]] [[Spuprier]] takes over at South Carolina on Tuesday, [[reurning]] to the [[collgee]] [[raks]] after a [[tree-year]] absence, and replacing [[Aou]] [[Voltz]].",0.0006429553031921387,0.692828893661499,1,2,1,62,"Successful"
"Moscow: [[Space]] Station Has Lots of Oxygen The crew of the International [[Space]] Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.","Moscow: [[Skace]] Station Has Lots of Oxygen The crew of the International [[SpaSe]] Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.",0.009017765522003174,0.8185926079750061,3,0,3,38,"Successful"
"[[Kaman]] [[itching]] to [[play]] [[despite]] [[recent]] [[surgery]] As a perpetual [[losing]] franchise, the [[Clippers]] have been [[known]] to find [[motivation]] in [[strange]] places, [[especially]] when they are far out of the [[playoff]] race.","[[KSman]] [[itchign]] to [[ply]] [[despit]] [[rjcent]] [[gurgery]] As a perpetual [[loeing]] franchise, the [[Cippers]] have been [[knwn]] to find [[Uotivation]] in [[strang]] places, [[especilly]] when they are far out of the [[playff]] race.",0.0012826919555664062,0.9783081412315369,1,2,1,89,"Successful"
"[[Annan]] [[Names]] [[New]] [[Chief]] of [[Staff]], [[Reform]] Push [[Seen]] [[UNITED]] [[NATIONS]] (Reuters) - U.N. [[Secretary-General]] [[Kofi]] [[Annan]] on [[Monday]] chose the [[head]] of a high-profile U.N. [[agency]] as his [[new]] [[chief]] of staff to [[help]] institute reforms and combat allegations of scandals.","[[tAnnan]] [[NameIs]] [[wew]] [[hCief]] of [[taff]], [[eform]] Push [[Semen]] [[UXITED]] [[NATMIONS]] (Reuters) - U.N. [[Secretary-eGneral]] [[Kocfi]] [[Annqn]] on [[oMonday]] chose the [[ehad]] of a high-profile U.N. [[agenBy]] as his [[nw]] [[chie]] of staff to [[helv]] institute reforms and combat allegations of scandals.",0.0010216236114501953,0.7835601568222046,0,3,0,117,"Successful"
"Americans to Attend Trade Talks in Cuba ([[AP]]) [[AP]] - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export [[food]] to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.","Americans to Attend Trade Talks in Cuba ([[XP]]) [[QP]] - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export [[ood]] to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.",0.1424027681350708,0.6095086336135864,0,2,0,65,"Successful"
"Lukas, Baffert, Frankel, [[Bailey]] must mean it #[[39]];s [[Breeders]] #39; Cup If D. Wayne [[Lukas]], Bob Baffert, Bobby Frankel, Jerry Bailey and Pat Day are at the same track on the same day, it must be the Breeders #39; Cup.","Lukas, Baffert, Frankel, [[Biley]] must mean it #[[3]];s [[Breeder]] #39; Cup If D. Wayne [[Luka]], Bob Baffert, Bobby Frankel, Jerry Bailey and Pat Day are at the same track on the same day, it must be the Breeders #39; Cup.",0.0006151199340820312,0.0006362795829772949,1,1,1,135,"Failed"
"El Guerrouj hits gold again Hicham El Guerrouj shocks world record holder [[Kenenisa]] Bekele to win the 5,[[000m]].","El Guerrouj hits gold again Hicham El Guerrouj shocks world record holder [[BKenenisa]] Bekele to win the 5,[[0t0m]].",0.1569334864616394,0.5453356504440308,0,1,0,23,"Successful"
"Pfizer #[[39]];s [[Bextra]] Faces #[[39]];Headline [[Risk]] #[[39]]; Prudential Equity Group [[maintained]] a quot;[[neutral]] [[weight]] quot; [[rating]] on Pfizer ([[nyse]]: PFE - news - people ) after [[Canadian]] news reports [[surfaced]] linking its [[arthritis]] drug [[Celebrex]] with [[cardiovascular]] side [[effects]].","Pfizer #[[Q9]];s [[Betra]] Faces #[[3u]];Headline [[Rik]] #[[9]]; Prudential Equity Group [[maintaiend]] a quot;[[neutroal]] [[weigt]] quot; [[ratin]] on Pfizer ([[ryse]]: PFE - news - people ) after [[Canadina]] news reports [[surfaecd]] linking its [[crthritis]] drug [[yelebrex]] with [[cardiovascuar]] side [[effetcs]].",0.0060544610023498535,0.010882914066314697,2,2,2,149,"Failed"
"Consumer Goods: [[RFID]] Tops [[To-Do]] List In Consumer Goods Consumer goods companies #39; top tech [[projects]] have often served as harbingers of the next wave of must-have technologies. [[Enterprise-resource-planning]] and customer-relationship","Consumer Goods: [[RIFD]] Tops [[Ro-Do]] List In Consumer Goods Consumer goods companies #39; top tech [[projecs]] have often served as harbingers of the next wave of must-have technologies. [[unterprise-resource-planning]] and customer-relationship",0.058313965797424316,0.5807418823242188,3,2,3,46,"Successful"
"[[Beon]] Media #39;s [[GalleryPlayer]] a [[no-show]] Just two [[weeks]] ago, Beon Media founder Scott Lipsky was touting a partnership with [[Microsoft]] that he said would help the 27-person company distribute [[famous]] [[photographs]], [[artwork]] and other digital images to [[thousands]] of [[computers]] and [[flat]] screen televisions","[[BGon]] Media #39;s [[GalleryPayer]] a [[no-hsow]] Just two [[Heeks]] ago, Beon Media founder Scott Lipsky was touting a partnership with [[Midrosoft]] that he said would help the 27-person company distribute [[famou]] [[potographs]], [[arBtwork]] and other digital images to [[thousnads]] of [[compkters]] and [[lfat]] screen televisions",0.036635756492614746,0.5165350437164307,3,2,3,82,"Successful"
"[[Whole]] Foods' Healthy [[Outlook]] The natural foods [[chain]] is predicting double-digit [[sales]] growth until 2010.","[[Whoel]] Foods' Healthy [[OutloIk]] The natural foods [[chin]] is predicting double-digit [[ales]] growth until 2010.",0.03735750913619995,0.9884253740310669,2,3,2,30,"Successful"
