"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Houston]] [[Rockets]] [[Team]] [[Report]] - [[December]] 3 (Sports [[Network]]) - The Houston Rockets fell to the [[Dallas]] Mavericks in overtime, 113-106, at AmericanAirlines [[Center]] on [[Thursday]]. Tracy McGrady [[also]] had an [[excellent]] game, [[scoring]] a season-high 48 [[points]] on","[[Dallas]] [[Projectile]] [[Computer]] [[Reporting]] - [[September]] 3 (Sports [[Webs]]) - The Houston Rockets fell to the [[Dali]] Mavericks in overtime, 113-106, at AmericanAirlines [[Centres]] on [[Mondays]]. Tracy McGrady [[even]] had an [[marvelous]] game, [[score]] a season-high 48 [[pixels]] on",0.0005427002906799316,0.5477074384689331,1,3,1,196,"Successful"
"DIY [[print]] boom DIGITAL [[photography]] continues to grow at a phenomenal rate. The ability to [[review]] images seconds after capture, [[download]] and manipulate them on a personal computer and [[either]] [[burn]] them on to a [[blank]] [[CD]] or","DIY [[footprint]] boom DIGITAL [[picture]] continues to grow at a phenomenal rate. The ability to [[reviews]] images seconds after capture, [[unloading]] and manipulate them on a personal computer and [[neither]] [[arson]] them on to a [[blanco]] [[SF]] or",0.03484141826629639,0.5198508501052856,3,2,3,101,"Successful"
"[[Oil]] extends [[advances]] Gold broke the \$450 a troy [[ounce]] [[level]] on [[Thursday]] for the first [[time]] [[since]] [[June]] 1988 as the [[dollar]] fell to a record [[low]] against the euro.","[[Petrol]] extends [[inroads]] Gold broke the \$450 a troy [[gram]] [[echelons]] on [[Today]] for the first [[dates]] [[oj]] [[Juni]] 1988 as the [[aussie]] fell to a record [[minimal]] against the euro.",0.0305975079536438,0.8691779375076294,2,1,2,129,"Successful"
"[[New]] iMac Could [[Give]] [[Apple]] a [[Needed]] Boost [[Apple]] has been gaining share in the higher-margin laptop business, and its [[iPod]] franchise is a hit, but the company #39;s [[worldwide]] [[market]] share in PCs fell from a [[peak]] of 9.6 percent in 1991 to 2 percent last year.","[[Nueva]] iMac Could [[Confer]] [[Potato]] a [[Need]] Boost [[Abel]] has been gaining share in the higher-margin laptop business, and its [[droid]] franchise is a hit, but the company #39;s [[world]] [[trade]] share in PCs fell from a [[apogee]] of 9.6 percent in 1991 to 2 percent last year.",0.07488101720809937,0.528367280960083,3,2,3,119,"Successful"
"Charity [[boss]] kidnapped in [[Iraq]] A director of an international [[charity]] in [[Iraq]] has been kidnapped as she was being [[driven]] to work in [[Baghdad]]. Margaret [[Hassan]], a British-born [[Iraqi]] national, was abducted in the [[capital]], [[CARE]] International UK [[said]] in London.","Charity [[patron]] kidnapped in [[Afghanis]] A director of an international [[charitable]] in [[Kabul]] has been kidnapped as she was being [[energized]] to work in [[Kabul]]. Margaret [[Huseyin]], a British-born [[Bagdad]] national, was abducted in the [[capitalization]], [[ZORG]] International UK [[stated]] in London.",0.0006949901580810547,0.5726968050003052,0,2,0,130,"Successful"
"HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.","HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.",0.8701464533805847,0.8701464533805847,3,3,2,1,"Skipped"
"Madonna [[weighs]] in on [[Iraq]] Madonna [[made]] a [[rare]] foray into [[politics]] [[Tuesday]], [[calling]] for her home [[country]] to [[withdraw]] its troops from Iraq during an interview with British [[radio]], [[reports]] Agence France-Presse.","Madonna [[wt]] in on [[Afghanistan]] Madonna [[accomplished]] a [[scant]] foray into [[policies]] [[Yesterday]], [[telephoning]] for her home [[nation]] to [[withdrawing]] its troops from Iraq during an interview with British [[broadcasts]], [[reporting]] Agence France-Presse.",0.0019818544387817383,0.012584030628204346,0,0,0,172,"Failed"
"Politically Savvy [[IT]] Managers Key to [[Grid]] [[Project]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on [[grid]] [[computing]] projects could get some tips from the [[candidates]] in this [[election]] season.","Politically Savvy [[THAT]] Managers Key to [[Grill]] [[Drafts]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on [[mesh]] [[calculate]] projects could get some tips from the [[candidate]] in this [[opt]] season.",0.03068476915359497,0.609420657157898,3,2,3,86,"Successful"
"Google Opens Office in Microsoft #39;s Backyard [[Google]] Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Opens Office in Microsoft #39;s Backyard [[Yahoo]] Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",0.3045641779899597,0.6963430643081665,2,3,2,36,"Successful"
"Ferrero, Scheuttler [[come]] up [[short]], Safin cruises in [[China]] [[Open]] [[Juan]] [[Carlos]] [[Ferrero]] #39;s [[hope]] of a [[first]] ATP title was [[left]] in [[tatters]] at the China Open on [[Thursday]] when the second [[seed]] was [[beaten]] by [[Kevin]] [[Kim]] from the [[United]] [[States]].","Ferrero, Scheuttler [[viens]] up [[abstract]], Safin cruises in [[Porcelain]] [[Tennis]] [[Jane]] [[Armando]] [[Benito]] #39;s [[amal]] of a [[upfront]] ATP title was [[gauche]] in [[wrecks]] at the China Open on [[Today]] when the second [[sperm]] was [[bested]] by [[Jamie]] [[Kym]] from the [[Nations]] [[Nation]].",0.0007444024085998535,0.0029278993606567383,1,1,1,196,"Failed"
