"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Houston]] [[Rockets]] Team [[Report]] - [[December]] [[3]] ([[Sports]] [[Network]]) - [[The]] Houston [[Rockets]] fell to the [[Dallas]] Mavericks in overtime, 113-106, at AmericanAirlines Center on Thursday. Tracy McGrady [[also]] had an [[excellent]] game, scoring a season-high [[48]] [[points]] on","[[of]] [[nba]] Team [[report]] - [[week]] [[12]] ([[basketball]] [[tv]]) - [[team]] Houston [[bucks]] fell to the [[dallas]] Mavericks in overtime, 113-106, at AmericanAirlines Center on Thursday. Tracy McGrady [[junior]] had an [[solid]] game, scoring a season-high [[49]] [[scoring]] on",0.0003775358200073242,0.0005010366439819336,1,1,1,235,"Failed"
"DIY print boom DIGITAL photography continues to [[grow]] at a phenomenal rate. The ability to [[review]] images [[seconds]] after [[capture]], [[download]] and [[manipulate]] them on a [[personal]] [[computer]] and [[either]] [[burn]] them on to a blank CD or","DIY print boom DIGITAL photography continues to [[fashion]] at a phenomenal rate. The ability to [[examine]] images [[right]] after [[take]], [[produce]] and [[retrieve]] them on a [[hand]] [[paper]] and [[whether]] [[burns]] them on to a blank CD or",0.1258174180984497,0.5196101665496826,3,2,3,121,"Successful"
"Oil extends advances [[Gold]] [[broke]] the \$[[450]] a [[troy]] ounce [[level]] on [[Thursday]] for the [[first]] time since [[June]] [[1988]] as the [[dollar]] [[fell]] to a record [[low]] against the [[euro]].","Oil extends advances [[gold]] [[saw]] the \$[[1]] a [[cent]] ounce [[levels]] on [[the]] for the [[last]] time since [[cent]] [[88]] as the [[pound]] [[falling]] to a record [[level]] against the [[metre]].",0.0229719877243042,0.09360754489898682,2,2,2,173,"Failed"
"New iMac Could Give Apple a Needed Boost Apple has been [[gaining]] share in the higher-margin laptop business, and its [[iPod]] franchise is a hit, but the company #39;s [[worldwide]] [[market]] share in PCs fell from a [[peak]] of [[9]].[[6]] [[percent]] in [[1991]] to [[2]] [[percent]] last year.","New iMac Could Give Apple a Needed Boost Apple has been [[acquiring]] share in the higher-margin laptop business, and its [[iphone]] franchise is a hit, but the company #39;s [[globally]] [[sell]] share in PCs fell from a [[fall]] of [[11]].[[1]] [[share]] in [[2011]] to [[6]] [[cents]] last year.",0.09980642795562744,0.5466779470443726,3,2,3,123,"Successful"
"HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.","HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.",0.6711128950119019,0.6711128950119019,3,3,2,1,"Skipped"
"Charity boss [[kidnapped]] in Iraq [[A]] director of an [[international]] [[charity]] in Iraq has been [[kidnapped]] as she was being [[driven]] to [[work]] in Baghdad. Margaret Hassan, a British-born [[Iraqi]] [[national]], was [[abducted]] in the [[capital]], CARE International UK said in [[London]].","Charity boss [[of]] in Iraq [[of]] director of an [[local]] [[foundation]] in Iraq has been [[arrested]] as she was being [[taken]] to [[job]] in Baghdad. Margaret Hassan, a British-born [[iraq]] [[female]], was [[arrested]] in the [[washington]], CARE International UK said in [[tokyo]].",0.0008751749992370605,0.5743265748023987,0,2,0,134,"Successful"
"Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER [[20]], [[2004]] (COMPUTERWORLD) - [[PHILADELPHIA]] -- [[Information]] technology managers embarking on [[grid]] [[computing]] [[projects]] [[could]] [[get]] some [[tips]] from the candidates in this election season.","Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER [[2]], [[three]] (COMPUTERWORLD) - [[pittsburgh]] -- [[energy]] technology managers embarking on [[utility]] [[technology]] [[programs]] [[had]] [[had]] some [[tipped]] from the candidates in this election season.",0.02286708354949951,0.5904971957206726,3,2,3,112,"Successful"
"Google [[Opens]] Office in Microsoft #39;s Backyard Google Inc. has opened an [[office]] just down the road from rival Microsoft [[Corp]]. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google [[launches]] Office in Microsoft #39;s Backyard Google Inc. has opened an [[account]] just down the road from rival Microsoft [[company]]. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",0.14646852016448975,0.5693526268005371,2,3,2,47,"Successful"
"Ferrero, Scheuttler come up [[short]], Safin cruises in [[China]] [[Open]] Juan [[Carlos]] Ferrero #[[39]];s hope of a [[first]] [[ATP]] [[title]] was [[left]] in tatters at the [[China]] [[Open]] on Thursday when the [[second]] [[seed]] was [[beaten]] by [[Kevin]] [[Kim]] from the [[United]] [[States]].","Ferrero, Scheuttler come up [[last]], Safin cruises in [[china]] [[championships]] Juan [[and]] Ferrero #[[36]];s hope of a [[next]] [[fifth]] [[titles]] was [[hit]] in tatters at the [[canton]] [[singles]] on Thursday when the [[next]] [[finalist]] was [[defeated]] by [[jack]] [[kim]] from the [[netherlands]] [[netherlands]].",0.0004723072052001953,0.0018848180770874023,1,1,1,212,"Failed"
"Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.","Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.",0.7058327198028564,0.7058327198028564,2,2,3,1,"Skipped"
