original_text,adversarial_text,split
"DIY print boom DIGITAL photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, download and manipulate them on a personal computer and either burn them on to a blank CD or","DIY prit boom DIGITAL photography continues to row at a phenomenal rate. The ability to review images second after capture, downMoad and manipulate them on a personal coputer and either burn them on to a blank DC or",calibration
"New iMac Could Give Apple a Needed Boost Apple has been gaining share in the higher-margin laptop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last year.","New Mac Could Give Apple a Needed Boost Apple has been ganing Oshare in the higher-margin Gaptop business, and its iPod franchise is a ihit, but the company #R9;s woldwide maret share in Ps fell from a peak of 9.6 Vercent in 1F91 to 2 percenxt fast year.",calibration
"Charity boss kidnapped in Iraq A director of an international charity in Iraq has been kidnapped as she was being driven to work in Baghdad. Margaret Hassan, a British-born Iraqi national, was abducted in the capital, CARE International UK said in London.","Charity boss kidnaRpped in Iraq A director of an inernational chartiy in Iraq has been kindapped as she was being drvien to work in Baghdad. Margaret Hassan, a rBitish-born Iraqi national, was abducWted in the caiptal, CARE International UK said in Londo.",calibration
"Google Opens Office in Microsoft #39;s Backyard Google Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Open Office in Microsoft #39;s Backyard Google Inc. has opened an ofEfice just down the road from rival Microsoft Cor. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",calibration
"Ferrero, Scheuttler come up short, Safin cruises in China Open Juan Carlos Ferrero #39;s hope of a first ATP title was left in tatters at the China Open on Thursday when the second seed was beaten by Kevin Kim from the United States.","Frrero, Scheuttler come up short, Safin cruises in ChZina ODpen DJuan Calos Ferrero #9;s hope of a first mATP ttile was lefd in tatters at the Chnia Oen on Thursday when the secnod gseed was bedten by Kevin Kilm from the Unitde Sattes.",calibration
Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.,Weak industrial output weighs on British growth (AFP) AFP - ritain's industrial sector appears to have been a bigger drag on overall eocnomic growth in the third quarter than was first assumed.,calibration
"DaimlerChrysler, GM team on hybrids DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology that reduces harmful emissions, the companies said Monday.","eDaimlerChrysler, GM team on hybrids DaimlerChrysler and Genral Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fxel-saving technology that reduces harmful emissicons, the companies said Modnay.",calibration
Free gin for UK juniper spotters The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.,Free gin for UK juniper spotters The first voluntees to sign up for a Kurvey of the endagnered juinper shrub in Britain will win a frBe bottl of gin.,calibration
"Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to find motivation in strange places, especially when they are far out of the playoff race.","KaTan itching to play desite recent surZery sA a perpetual losinBg franchise, the Clippeqs have been known to find motivation in strage places, especially when they are far out of the playoff race.",calibration
"Annan Names New Chief of Staff, Reform Push Seen UNITED NATIONS (Reuters) - U.N. Secretary-General Kofi Annan on Monday chose the head of a high-profile U.N. agency as his new chief of staff to help institute reforms and combat allegations of scandals.","Annan Names New Chief of Stff, Reform Push Seen UNITED NATIOXS (eRuters) - U.N. Secretary-Genera Kfoi Annat on Monday cPose the head of a hig-hprofile U.N. agenc as his enw chief of staf to hep institute reorms and Sombat allegations of scandals.",calibration
