"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Houston]] [[Rockets]] [[Team]] [[Report]] - [[December]] 3 ([[Sports]] [[Network]]) - [[The]] [[Houston]] [[Rockets]] fell to the [[Dallas]] Mavericks in overtime, 113-106, at AmericanAirlines Center on [[Thursday]]. Tracy McGrady [[also]] had an excellent game, scoring a [[season-high]] 48 [[points]] on","[[Houoton]] [[Rocktes]] [[Term]] [[Reporgt]] - [[ecember]] 3 ([[Sprts]] [[Ntwork]]) - [[VThe]] [[Hosuton]] [[RSckets]] fell to the [[Daloas]] Mavericks in overtime, 113-106, at AmericanAirlines Center on [[Thusday]]. Tracy McGrady [[alos]] had an excellent game, scoring a [[smeason-high]] 48 [[pAints]] on",0.0003775358200073242,0.0005893707275390625,1,1,1,91,"Failed"
"DIY [[print]] boom DIGITAL photography continues to [[grow]] at a phenomenal rate. The ability to review images [[seconds]] after capture, [[download]] and manipulate them on a personal [[computer]] and either burn them on to a blank [[CD]] or","DIY [[prit]] boom DIGITAL photography continues to [[row]] at a phenomenal rate. The ability to review images [[second]] after capture, [[downMoad]] and manipulate them on a personal [[coputer]] and either burn them on to a blank [[DC]] or",0.1258174180984497,0.6010434627532959,3,2,3,92,"Successful"
"Oil extends [[advances]] Gold broke the \$[[450]] a [[troy]] ounce level on [[Thursday]] for the first time since June [[1988]] as the dollar [[fell]] to a record low against the euro.","Oil extends [[advance]] Gold broke the \$[[40]] a [[tro]] ounce level on [[Tuhrsday]] for the first time since June [[198]] as the dollar [[yell]] to a record low against the euro.",0.0229719877243042,0.04474043846130371,2,2,2,99,"Failed"
"New [[iMac]] Could Give Apple a Needed Boost Apple has been [[gaining]] [[share]] in the higher-margin [[laptop]] business, and its iPod franchise is a [[hit]], but the company #[[39]];s [[worldwide]] [[market]] share in [[PCs]] fell from a peak of 9.6 [[percent]] in [[1991]] to 2 [[percent]] [[last]] year.","New [[Mac]] Could Give Apple a Needed Boost Apple has been [[ganing]] [[Oshare]] in the higher-margin [[Gaptop]] business, and its iPod franchise is a [[ihit]], but the company #[[R9]];s [[woldwide]] [[maret]] share in [[Ps]] fell from a peak of 9.6 [[Vercent]] in [[1F91]] to 2 [[percenxt]] [[fast]] year.",0.09980642795562744,0.505583643913269,3,2,3,120,"Successful"
"Charity boss [[kidnapped]] in Iraq A director of an [[international]] [[charity]] in Iraq has been [[kidnapped]] as she was being [[driven]] to work in Baghdad. Margaret Hassan, a [[British-born]] Iraqi national, was [[abducted]] in the [[capital]], CARE International UK said in [[London]].","Charity boss [[kidnaRpped]] in Iraq A director of an [[inernational]] [[chartiy]] in Iraq has been [[kindapped]] as she was being [[drvien]] to work in Baghdad. Margaret Hassan, a [[rBitish-born]] Iraqi national, was [[abducWted]] in the [[caiptal]], CARE International UK said in [[Londo]].",0.0008751749992370605,0.7782239317893982,0,2,0,62,"Successful"
"HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.","HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.",0.6711128950119019,0.6711128950119019,3,3,2,1,"Skipped"
"[[Madonna]] weighs in on [[Iraq]] Madonna [[made]] a rare foray into [[politics]] [[Tuesday]], [[calling]] for her [[home]] country to [[withdraw]] its [[troops]] from [[Iraq]] during an interview with [[British]] [[radio]], [[reports]] [[Agence]] France-Presse.","[[MadonnG]] weighs in on [[lIraq]] Madonna [[maed]] a rare foray into [[pFlitics]] [[uTesday]], [[Walling]] for her [[hmoe]] country to [[withdra]] its [[tropos]] from [[raq]] during an interview with [[Britismh]] [[rapio]], [[repors]] [[Axgence]] France-Presse.",0.0010982751846313477,0.3423891067504883,0,0,0,86,"Failed"
"[[Politically]] [[Savvy]] [[IT]] Managers [[Key]] to Grid Project [[Success]] SEPTEMBER 20, [[2004]] ([[COMPUTERWORLD]]) - [[PHILADELPHIA]] -- Information technology managers [[embarking]] on [[grid]] [[computing]] projects [[could]] get some [[tips]] from the [[candidates]] in this election season.","[[Politicalyl]] [[SavQvy]] [[T]] Managers [[Kye]] to Grid Project [[SucFess]] SEPTEMBER 20, [[0204]] ([[COMPUTEWRORLD]]) - [[PHILADCLPHIA]] -- Information technology managers [[embaking]] on [[Bgrid]] [[coputing]] projects [[cuold]] get some [[itps]] from the [[canddiates]] in this election season.",0.02286708354949951,0.31804460287094116,3,3,3,120,"Failed"
"Google [[Opens]] Office in Microsoft #39;s Backyard Google Inc. has opened an [[office]] just down the road from rival Microsoft [[Corp]]. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google [[Open]] Office in Microsoft #39;s Backyard Google Inc. has opened an [[ofEfice]] just down the road from rival Microsoft [[Cor]]. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",0.14646852016448975,0.722597599029541,2,3,2,38,"Successful"
"[[Ferrero]], Scheuttler come up short, Safin cruises in [[China]] [[Open]] [[Juan]] [[Carlos]] Ferrero #[[39]];s hope of a first [[ATP]] [[title]] was [[left]] in tatters at the [[China]] [[Open]] on Thursday when the [[second]] [[seed]] was [[beaten]] by Kevin [[Kim]] from the [[United]] [[States]].","[[Frrero]], Scheuttler come up short, Safin cruises in [[ChZina]] [[ODpen]] [[DJuan]] [[Calos]] Ferrero #[[9]];s hope of a first [[mATP]] [[ttile]] was [[lefd]] in tatters at the [[Chnia]] [[Oen]] on Thursday when the [[secnod]] [[gseed]] was [[bedten]] by Kevin [[Kilm]] from the [[Unitde]] [[Sattes]].",0.0004723072052001953,0.8837092518806458,1,3,1,109,"Successful"
