"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Houston [[Rockets]] Team [[Report]] - December 3 ([[Sports]] [[Network]]) - The Houston [[Rockets]] fell to the [[Dallas]] Mavericks in [[overtime]], 113-106, at AmericanAirlines Center on [[Thursday]]. Tracy McGrady [[also]] had an excellent game, scoring a season-high 48 points on","Houston [[Missile]] Team [[Reports]] - December 3 ([[Sporty]] [[Internet]]) - The Houston [[Projectile]] fell to the [[Dulles]] Mavericks in [[ot]], 113-106, at AmericanAirlines Center on [[Yesterday]]. Tracy McGrady [[furthermore]] had an excellent game, scoring a season-high 48 points on",0.0003775358200073242,0.649517297744751,1,3,1,110,"Successful"
"DIY print boom [[DIGITAL]] photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, [[download]] and manipulate them on a personal [[computer]] and either burn them on to a blank [[CD]] or","DIY print boom [[DIGITALLY]] photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, [[unloaded]] and manipulate them on a personal [[equipment]] and either burn them on to a blank [[DISKS]] or",0.1258174180984497,0.543317437171936,3,2,3,64,"Successful"
"[[Oil]] extends advances Gold [[broke]] the \$450 a [[troy]] ounce [[level]] on [[Thursday]] for the first [[time]] since [[June]] 1988 as the [[dollar]] fell to a record [[low]] against the euro.","[[Yau]] extends advances Gold [[broken]] the \$450 a [[ounce]] ounce [[levels]] on [[Thu]] for the first [[times]] since [[December]] 1988 as the [[buck]] fell to a record [[little]] against the euro.",0.0229719877243042,0.07823896408081055,2,2,2,166,"Failed"
"[[New]] iMac [[Could]] Give [[Apple]] a Needed Boost Apple has been [[gaining]] [[share]] in the higher-margin [[laptop]] business, and its [[iPod]] franchise is a hit, but the company #39;s worldwide [[market]] share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last [[year]].","[[Novo]] iMac [[Does]] Give [[Mitt]] a Needed Boost Apple has been [[earning]] [[shares]] in the higher-margin [[portable]] business, and its [[droid]] franchise is a hit, but the company #39;s worldwide [[traded]] share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last [[yr]].",0.09980642795562744,0.50909423828125,3,2,3,101,"Successful"
"Charity boss [[kidnapped]] in [[Iraq]] [[A]] director of an [[international]] [[charity]] in [[Iraq]] has been [[kidnapped]] as she was being [[driven]] to work in [[Baghdad]]. [[Margaret]] [[Hassan]], a British-born [[Iraqi]] national, was [[abducted]] in the [[capital]], CARE International UK [[said]] in [[London]].","Charity boss [[abduction]] in [[Afghani]] [[para]] director of an [[un]] [[philanthropic]] in [[Afghani]] has been [[kidnapping]] as she was being [[energized]] to work in [[Afghani]]. [[Intoxicating]] [[Huseyin]], a British-born [[Bagdad]] national, was [[abducting]] in the [[finances]], CARE International UK [[pointed]] in [[Glasgow]].",0.0008751749992370605,0.638146162033081,0,2,0,170,"Successful"
"HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.","HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. HPQ.N and Intel Corp. INTC.O on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product.",0.6711128950119019,0.6711128950119019,3,3,2,1,"Skipped"
"[[Madonna]] [[weighs]] in on [[Iraq]] Madonna [[made]] a [[rare]] [[foray]] into [[politics]] [[Tuesday]], [[calling]] for her [[home]] country to [[withdraw]] its [[troops]] from Iraq during an [[interview]] with British radio, [[reports]] Agence France-Presse.","[[Maven]] [[weighted]] in on [[Saddam]] Madonna [[accomplished]] a [[few]] [[storming]] into [[policing]] [[Today]], [[telephoning]] for her [[house]] country to [[pulling]] its [[troupes]] from Iraq during an [[interviewing]] with British radio, [[dealings]] Agence France-Presse.",0.0010982751846313477,0.059323251247406006,0,0,0,163,"Failed"
"Politically [[Savvy]] [[IT]] [[Managers]] Key to [[Grid]] [[Project]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - [[PHILADELPHIA]] -- Information technology managers embarking on grid [[computing]] [[projects]] [[could]] [[get]] some tips from the candidates in this election season.","Politically [[Adroit]] [[IL]] [[Administrative]] Key to [[Grill]] [[Plan]] Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - [[CHICAGO]] -- Information technology managers embarking on grid [[calculating]] [[ventures]] [[were]] [[got]] some tips from the candidates in this election season.",0.02286708354949951,0.5081255435943604,3,2,3,124,"Successful"
"Google [[Opens]] Office in Microsoft #39;s Backyard Google Inc. has opened an [[office]] just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google [[Open]] Office in Microsoft #39;s Backyard Google Inc. has opened an [[bureau]] just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",0.14646852016448975,0.5028993487358093,2,3,2,46,"Successful"
"Ferrero, Scheuttler [[come]] up [[short]], Safin [[cruises]] in [[China]] Open [[Juan]] [[Carlos]] [[Ferrero]] #39;s hope of a [[first]] ATP [[title]] was [[left]] in tatters at the [[China]] [[Open]] on [[Thursday]] when the second [[seed]] was [[beaten]] by [[Kevin]] Kim from the [[United]] [[States]].","Ferrero, Scheuttler [[coming]] up [[brief]], Safin [[cruising]] in [[Hoa]] Open [[Juana]] [[Castro]] [[Benito]] #39;s hope of a [[initial]] ATP [[headers]] was [[exited]] in tatters at the [[Hwa]] [[Tennis]] on [[Friday]] when the second [[sprouts]] was [[hit]] by [[Kev]] Kim from the [[Unidos]] [[Declares]].",0.0004723072052001953,0.001077890396118164,1,1,1,189,"Failed"
"Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.","Taiwan Semi sales dip TSMC, the world #39;s largest contract chip maker, said Thursday its sales fell in September for the first time in 7 months and warned they could continue to drop as demand falters amid a broad industry slowdown.",0.7058327198028564,0.7058327198028564,2,2,3,1,"Skipped"
