"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Presque rien' is a story of two young boys falling in love during summer stay by the seaside. I don't want to tell the plot, because it's not what's most important about this film (but you can be sure that it's interesting and [[original]]). The [[best]] part of this movie is the [[cinematography]]. [[The]] visual [[side]] of 'Presque rien' is so [[amazing]] it [[deserves]] [[highest]] [[note]]. It [[leaves]] you charmed with its beauty.<br /><[[br]] />As for the plot, it is [[shown]] in uneven, rather complicated way. There is no [[simple]] [[chronology]] nor there are","'Presque rien' is a story of two young boys falling in love during summer stay by the seaside. I don't want to tell the plot, because it's not what's most important about this film (but you can be sure that it's interesting and [[innocent]]). The [[good]] part of this movie is the [[backdrop]]. [[one]] visual [[part]] of 'Presque rien' is so [[that]] it [[should]] [[bring]] [[grace]]. It [[gives]] you charmed with its beauty.<br /><[[b]] />As for the plot, it is [[shot]] in uneven, rather complicated way. There is no [[clear]] [[sequence]] nor there are",0.011397898197174072,0.5015548467636108,1,0,1,173,"Successful"
"[[In]] [[Theodore]] [[Rex]] [[poor]] Whoopi [[Goldberg]] is [[set]] up as a [[tough]] [[police]] cop who [[gets]] to work with a [[pathetic]] dinosaur on a case. The [[movie]] tries to be funny, and tries to make a story about abductions and more but it [[never]] works. [[The]] movie is [[far]] from funny, and the story is [[ridiculous]]. I voted 1/[[10]]","[[in]] [[this]] [[is]] [[good]] Whoopi [[i]] is [[brought]] up as a [[new]] [[policeman]] cop who [[get]] to work with a [[derelict]] dinosaur on a case. The [[comedy]] tries to be funny, and tries to make a story about abductions and more but it [[mostly]] works. [[its]] movie is [[well]] from funny, and the story is [[crazy]]. I voted 1/[[100]]",0.006898283958435059,0.6628321409225464,0,1,0,170,"Successful"
"Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far [[superior]] if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,","Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far [[inferior]] if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,",0.4631301760673523,0.5661784410476685,0,1,0,67,"Successful"
"It was a [[bit]] [[bizarre]] and evil and i [[enjoyed]] it a [[lot]], the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however [[buy]] the show just to enjoy, it was [[great]] to something [[different]] on TV. And Paige Turrco who was Caleb's cousin, she was a big","It was a [[deal]] [[alien]] and evil and i [[watched]] it a [[little]], the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however [[discount]] the show just to enjoy, it was [[compared]] to something [[like]] on TV. And Paige Turrco who was Caleb's cousin, she was a big",0.01864713430404663,0.5696591138839722,1,0,1,122,"Successful"
"Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.","Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.",0.6828540563583374,0.6828540563583374,1,1,0,1,"Skipped"
"First-time director Tom Kiesche [[turns]] in a [[winning]] [[film]] in the spirit of cutting, [[dark]] comedy. Shot on a shoestring budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty [[Python]] flavorings to boot! [[Needs]] to [[seen]] more than once to [[appreciate]] all the elements that [[carry]] [[one]] scene to the next. Expect more good things to [[come]] from this writer-director-actor.","First-time director Tom Kiesche [[looks]] in a [[promising]] [[script]] in the spirit of cutting, [[slash]] comedy. Shot on a shoestring budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty [[python]] flavorings to boot! [[wants]] to [[film]] more than once to [[know]] all the elements that [[drag]] [[1]] scene to the next. Expect more good things to [[say]] from this writer-director-actor.",0.0038831233978271484,0.5430401563644409,1,0,1,130,"Successful"
"A few years ago I added a comment to the IMDB on ""The Real McCoys"" TV series. I said then and [[repeat]] now it was a [[charming]], [[funny]], and [[entertaining]] show, well-acted with [[wonderful]] characterizations.<[[br]] /><[[br]] />[[I]] [[recently]] saw on [[DVD]] four old [[episodes]] PLUS the Reunion of [[2000]] with [[Richard]] Crenna, [[Kathy]] Nolan, and [[Tony]] Martinez. [[As]] [[another]] writer here [[mentioned]], it is curious that Lydia Reed (Hassie) and [[Michael]] Winkelman (Little Luke) weren't refered to, but perhaps they can be [[tracked]] down via SAG or AFTRA.<br /","A few years ago I added a comment to the IMDB on ""The Real McCoys"" TV series. I said then and [[quote]] now it was a [[new]], [[action]], and [[adventure]] show, well-acted with [[good]] characterizations.<[[to]] /><[[ref]] />[[was]] [[being]] saw on [[youtube]] four old [[shows]] PLUS the Reunion of [[millennium]] with [[patrick]] Crenna, [[mary]] Nolan, and [[don]] Martinez. [[being]] [[any]] writer here [[here]], it is curious that Lydia Reed (Hassie) and [[jeff]] Winkelman (Little Luke) weren't refered to, but perhaps they can be [[identified]] down via SAG or AFTRA.<br /",0.08485656976699829,0.5283328294754028,1,0,1,237,"Successful"
"I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was [[done]]. [[All]] i can [[say]], is that the only people who should watch this are ones who have already read the [[series]] and are [[curious]] about it. Its [[pretty]] [[bad]], and will turn you off reading them. Not to be mean, but Lucy is so [[ugly]] it detracts from the movie. [[Was]] she the directors daughter? Seriously, I'm sure the beavers in the movie were jealous of her teeth. She had an overbite that would put any beaver to [[shame]]. [[The]] [[movie]] just loses so","I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was [[completed]]. [[so]] i can [[do]], is that the only people who should watch this are ones who have already read the [[books]] and are [[learning]] about it. Its [[very]] [[good]], and will turn you off reading them. Not to be mean, but Lucy is so [[fat]] it detracts from the movie. [[being]] she the directors daughter? Seriously, I'm sure the beavers in the movie were jealous of her teeth. She had an overbite that would put any beaver to [[down]]. [[its]] [[game]] just loses so",0.007658720016479492,0.5165314078330994,0,1,0,165,"Successful"
"There's nothing really to [[dislike]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men","There's nothing really to [[like]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men",0.46254175901412964,0.6745164394378662,1,0,1,69,"Successful"
"As I am from Hungary I have heard many people saying better and [[better]] things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty dull. I liked the first half, but then I started to get bored, and then [[I]] found the [[whole]] [[film]] just [[BORING]].<br /><br />Rudolf Péter is good as always","As I am from Hungary I have heard many people saying better and [[worse]] things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty dull. I liked the first half, but then I started to get bored, and then [[finally]] found the [[rest]] [[and]] just [[interesting]].<br /><br />Rudolf Péter is good as always",0.011857330799102783,0.5003494620323181,0,1,0,102,"Successful"
