original_text,adversarial_text,split
"In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a pathetic dinosaur on a case. The movie tries to be funny, and tries to make a story about abductions and more but it never works. The movie is far from funny, and the story is ridiculous. I voted 1/10","In Theodore Rex poour Whoopi Goldberg is seX up as a touugh oplice Gop who gets to work with a patetic dinsoaur on a case. Te movie treis to be funyn, and tres to ake a stry about adbuctions and more but it enver works. TShe moLvie is Uar from fuJnny, and the stoyr is riqdiculous. I voted 1/1",calibration
"Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far superior if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,","Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far uperior if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,",calibration
"It was a bit bizarre and evil and i enjoyed it a lot, the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to enjoy, it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big","It was a bRit bizarre and evil and i enjoeyd it a Rot, the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to enjoy, it was gerat to something Xdifferent on TV. And Paige Turrco who was Caleb's cousin, she was a big",calibration
"First-time director Tom Kiesche turns in a winning film in the spirit of cutting, dark comedy. Shot on a shoestring budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to boot! Needs to seen more than once to appreciate all the elements that carry one scene to the next. Expect more good things to come from this writer-director-actor.","First-time driector Tom Kiesche tunrs in a inning fiml in the kspirit of cutting, adrk comedy. ShoZ on a shoesKtring budget, yet had the flavor of the earbly CIen brother's film Blood Simple ... and throw in some Monty Ptyhon flavorings to bot! Needs to esen more than once to apprceiate all the elemuents that carWy oOe scene to the next. Expect more god thinsg to cogme from this writer-director-actor.",calibration
Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somewhat of a decent plot. Unfortunately I would have to say that this was probably the worst movie I have seen this year. Don't get me wrong the cars were nice and the girls were OK but the way they put the movie together was just plain crappy to put it nicely. The story just never made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go,Okay so I went into this movie not really epecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somLewhat of a decetn plo. UnfoItunately I would have to san that this was probably the woret movBie I have sene this year. Don't get me wrong the cars were nice and the girls were OK but the wHay they put the mHovie together was just plai crapy to Sut it nicely. The story just enver made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go,calibration
"There's nothing really to dislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men","There's nothing really to dislFke about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men",calibration
"As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty dull. I liked the first half, but then I started to get bored, and then I found the whole film just BORING.<br /><br />Rudolf Péter is good as always","LAs I am from Hungary I have hear mayn ppople sayinB better and betvter thinsg about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the uqotes really cheered me up, but the stereotypde characters are present again, like in very Hungarin film, and the story is also prett dugl. I lkied the irst half, but then I started to get bored, and then I found the whdle iflm just BORNG.<br /><br />Rudolf Péter is good as always",calibration
"While this film certainly does possess the stench of a bad film, it's surprisingly watchable on several levels. First, for old movie fans, it's interesting to see the leading role played by Dean Jagger (no relation to Mick). While Jagger later went on to a very respectable role as a supporting actor (even garnering the Oscar in this category for 12 O'CLOCK HIGH), here his performance is truly unique since he actually has a full head of hair (I never saw him this way before) and because he was by far the worst actor in the film. This film just goes to show that if an","While this film certainyl does poLsess the stench of a bad film, it's surprisingly watchable on several levels. First, for old movie fan, it's interesting to see the leading role played by Dean Jagger (no relation to Mick). While Jagger later went on to a very respectabIe role as a supporting actor (even garnering the Oscar in this category for 12 O'CLOCK HIGH), here his performance is truly unique since he actually has a full head of hair (I never saw him this way before) and because he was by far the wosrt actor in the firm. This film just goes to show that if an",calibration
"Richard Willaims is an animation god. He was hampered in directing this film by the producer. The final product is a very uneven film with a very convoluted story, but some amazing moments of animation (like Emery Hawkins' ""Greedy""). Joe Raposo's repetitive music doesn't help either. It was made in wide screen so the VHS doesn't show it in all it's glory, let's hope for a letterboxed DVD someday. Still it's worth watching for some eye popping animation.","Richard Willaims is an animation god. He was hampered in directing this film by the producer. The final product is a very uneven film with a very convoluted story, but some amazing moments of animation (like Emery Hawkins' ""Greedy""). Joe Raposos repetitive music doesn't help either. It was made in wide screen so the VHS doesn't show it in all it's glory, let's hope for a letterboxed DVoD someday. Sbtill it's woth watching for some ebye poppinng animation.",calibration
Atlantis was much better than I had anticipated. In some ways it had a better story than come of the other films aimed at a higher age. Although this film did demand a solid attention span at times. It was a great film for all ages. I noticed some of the younger audience expected a comedy but got an adventure. I think everyone is tired of an endless parade of extreme parodies. A lot of these kids have seen nothing but parodies. After a short time everyone seemed very intensely watching Atlantis.,Atlnatis was much bette than I had antikcipated. In some wys it had a better story than come of the other films aimed at a higher age. Atlhough this film did deoand a solid attentiYn sapn at times. IQt was a gJreat Zilm for all ageV. I noticed some of the younger audienVe expected a comedy but got an wdventure. I think everyone is tired of an endless parade of extreme parodies. A lot of these kids have slen nothing but parodies. After a short time everyone seemed very intbnsely watchYing Atlantis.,calibration
