"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'[[Presque]] [[rien']] is a story of [[two]] [[young]] boys falling in love during [[summer]] [[stay]] by the seaside. I don't [[want]] to tell the plot, because it's not [[what's]] most important about this [[film]] (but you can be [[sure]] that it's [[interesting]] and original). [[The]] [[best]] [[part]] of this movie is the cinematography. [[The]] visual side of '[[Presque]] [[rien']] is so amazing it [[deserves]] [[highest]] [[note]]. [[It]] [[leaves]] you [[charmed]] with its [[beauty]].<[[br]] /><[[br]] />As for the plot, it is shown in uneven, rather complicated way. There is no simple chronology nor there are","'[[Pesque]] [[rieny]] is a story of [[tow]] [[yonug]] boys falling in love during [[scummer]] [[sty]] by the seaside. I don't [[Kwant]] to tell the plot, because it's not [[whqat's]] most important about this [[filX]] (but you can be [[sur]] that it's [[interestiDng]] and original). [[Th]] [[bes]] [[wart]] of this movie is the cinematography. [[Thf]] visual side of '[[Preque]] [[rbien']] is so amazing it [[dererves]] [[highets]] [[noVte]]. [[IS]] [[leavOs]] you [[chrmed]] with its [[Zeauty]].<[[rb]] /><[[b]] />As for the plot, it is shown in uneven, rather complicated way. There is no simple chronology nor there are",0.011397898197174072,0.4608150124549866,1,1,1,215,"Failed"
"In Theodore Rex [[poor]] Whoopi Goldberg is [[set]] up as a [[tough]] [[police]] [[cop]] who gets to work with a [[pathetic]] [[dinosaur]] on a case. [[The]] movie [[tries]] to be [[funny]], and [[tries]] to [[make]] a [[story]] about [[abductions]] and more but it [[never]] works. [[The]] [[movie]] is [[far]] from [[funny]], and the [[story]] is [[ridiculous]]. I voted 1/[[10]]","In Theodore Rex [[poour]] Whoopi Goldberg is [[seX]] up as a [[touugh]] [[oplice]] [[Gop]] who gets to work with a [[patetic]] [[dinsoaur]] on a case. [[Te]] movie [[treis]] to be [[funyn]], and [[tres]] to [[ake]] a [[stry]] about [[adbuctions]] and more but it [[enver]] works. [[TShe]] [[moLvie]] is [[Uar]] from [[fuJnny]], and the [[stoyr]] is [[riqdiculous]]. I voted 1/[[1]]",0.006898283958435059,0.8428444862365723,0,1,0,167,"Successful"
"Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far [[superior]] if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,","Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far [[uperior]] if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,",0.4631301760673523,0.6089320778846741,0,1,0,67,"Successful"
"It was a [[bit]] bizarre and evil and i [[enjoyed]] it a [[lot]], the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to enjoy, it was [[great]] to something [[different]] on TV. And Paige Turrco who was Caleb's cousin, she was a big","It was a [[bRit]] bizarre and evil and i [[enjoeyd]] it a [[Rot]], the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to enjoy, it was [[gerat]] to something [[Xdifferent]] on TV. And Paige Turrco who was Caleb's cousin, she was a big",0.01864713430404663,0.5170126557350159,1,0,1,78,"Successful"
"Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.","Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.",0.6828540563583374,0.6828540563583374,1,1,0,1,"Skipped"
"First-time [[director]] Tom Kiesche [[turns]] in a [[winning]] [[film]] in the [[spirit]] of cutting, [[dark]] comedy. [[Shot]] on a [[shoestring]] budget, yet had the flavor of the [[early]] [[Coen]] brother's film Blood Simple ... and throw in some Monty [[Python]] flavorings to [[boot]]! Needs to [[seen]] more than once to [[appreciate]] all the [[elements]] that [[carry]] [[one]] scene to the next. Expect more [[good]] [[things]] to [[come]] from this writer-director-actor.","First-time [[driector]] Tom Kiesche [[tunrs]] in a [[inning]] [[fiml]] in the [[kspirit]] of cutting, [[adrk]] comedy. [[ShoZ]] on a [[shoesKtring]] budget, yet had the flavor of the [[earbly]] [[CIen]] brother's film Blood Simple ... and throw in some Monty [[Ptyhon]] flavorings to [[bot]]! Needs to [[esen]] more than once to [[apprceiate]] all the [[elemuents]] that [[carWy]] [[oOe]] scene to the next. Expect more [[god]] [[thinsg]] to [[cogme]] from this writer-director-actor.",0.0038831233978271484,0.5631029605865479,1,0,1,131,"Successful"
"Okay so I went into this movie not really [[expecting]] much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls [[somewhat]] of a [[decent]] [[plot]]. [[Unfortunately]] I would have to [[say]] that this was probably the [[worst]] [[movie]] I have [[seen]] this year. Don't get me wrong the cars were nice and the girls were OK but the [[way]] they put the [[movie]] together was just [[plain]] [[crappy]] to [[put]] it nicely. The story just [[never]] made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go","Okay so I went into this movie not really [[epecting]] much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls [[somLewhat]] of a [[decetn]] [[plo]]. [[UnfoItunately]] I would have to [[san]] that this was probably the [[woret]] [[movBie]] I have [[sene]] this year. Don't get me wrong the cars were nice and the girls were OK but the [[wHay]] they put the [[mHovie]] together was just [[plai]] [[crapy]] to [[Sut]] it nicely. The story just [[enver]] made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go",0.004565417766571045,0.5492841601371765,0,1,0,140,"Successful"
"A few years ago I added a comment to the IMDB on ""The Real McCoys"" TV series. I said then and [[repeat]] now it was a [[charming]], [[funny]], and [[entertaining]] [[show]], [[well-acted]] with wonderful characterizations.<[[br]] /><[[br]] />I [[recently]] [[saw]] on [[DVD]] four [[old]] [[episodes]] PLUS the [[Reunion]] of [[2000]] with [[Richard]] Crenna, [[Kathy]] Nolan, and [[Tony]] Martinez. [[As]] [[another]] writer here mentioned, it is curious that Lydia Reed ([[Hassie]]) and [[Michael]] Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<[[br]] /","A few years ago I added a comment to the IMDB on ""The Real McCoys"" TV series. I said then and [[rJpeat]] now it was a [[chraming]], [[ufnny]], and [[entertaineng]] [[shwo]], [[well-acGed]] with wonderful characterizations.<[[bor]] /><[[bd]] />I [[recetly]] [[dsaw]] on [[DmVD]] four [[olPd]] [[eBpisodes]] PLUS the [[Ueunion]] of [[20B00]] with [[Rchard]] Crenna, [[Ktahy]] Nolan, and [[oTny]] Martinez. [[s]] [[apother]] writer here mentioned, it is curious that Lydia Reed ([[aHssie]]) and [[iMchael]] Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<[[Ibr]] /",0.08485656976699829,0.4572495222091675,1,1,1,170,"Failed"
"I'm a fan of the series and have read all 7 [[books]]. I wanted to see this just to see how it was [[done]]. [[All]] i can [[say]], is that the only [[people]] who should watch this are [[ones]] who have [[already]] [[read]] the [[series]] and are [[curious]] about it. [[Its]] [[pretty]] [[bad]], and will [[turn]] you off reading them. [[Not]] to be mean, but [[Lucy]] is so [[ugly]] it detracts from the [[movie]]. [[Was]] she the [[directors]] daughter? [[Seriously]], [[I'm]] [[sure]] the [[beavers]] in the [[movie]] were [[jealous]] of her teeth. She had an overbite that would put any beaver to shame. The movie just loses so","I'm a fan of the series and have read all 7 [[book]]. I wanted to see this just to see how it was [[doAne]]. [[kll]] i can [[sy]], is that the only [[pDople]] who should watch this are [[onLes]] who have [[alreIady]] [[rean]] the [[seMies]] and are [[curios]] about it. [[tIs]] [[pretLy]] [[bdd]], and will [[trun]] you off reading them. [[Nto]] to be mean, but [[Lcy]] is so [[gly]] it detracts from the [[move]]. [[as]] she the [[directous]] daughter? [[eriously]], [[I']] [[asure]] the [[baevers]] in the [[mHovie]] were [[jealos]] of her teeth. She had an overbite that would put any beaver to shame. The movie just loses so",0.007658720016479492,0.4051983952522278,0,0,0,203,"Failed"
"There's nothing really to [[dislike]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men","There's nothing really to [[dislFke]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men",0.46254175901412964,0.5005459785461426,1,0,1,64,"Successful"
