original_text,adversarial_text,split
"'Presque rien' is a story of two young boys falling in love during summer stay by the seaside. I don't want to tell the plot, because it's not what's most important about this film (but you can be sure that it's interesting and original). The best part of this movie is the cinematography. The visual side of 'Presque rien' is so amazing it deserves highest note. It leaves you charmed with its beauty.<br /><br />As for the plot, it is shown in uneven, rather complicated way. There is no simple chronology nor there are","'Bangor rien' is a narratives of two young boys falling in love during summer stay by the seaside. I don't want to telling the plot, because it's not what's most important about this film (but you can be safer that it's interesting and preliminary). The good part of this movie is the cinematography. The optical cara of 'Presque rien' is so impressive it merited higher notes. It tarps you seduced with its beauty.<ab /><br />As for the plot, it is exhibited in uneven, rather complicated way. There is no effortless sequenced nor there are",calibration
"In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a pathetic dinosaur on a case. The movie tries to be funny, and tries to make a story about abductions and more but it never works. The movie is far from funny, and the story is ridiculous. I voted 1/10","In Theodore Rex poor Rickles Goldberg is defining up as a tough police cop who gets to work with a pathetic prehistory on a case. The kino tries to be bizarre, and tries to make a conte about abductions and more but it none works. The movie is highly from hilarious, and the saga is farcical. I voted 1/10",calibration
"Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far superior if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,","Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far higher if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power plant are substandard,",calibration
"It was a bit bizarre and evil and i enjoyed it a lot, the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to enjoy, it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big","It was a hunk nosy and evil and i worshiped it a lot, the features in the show were great as too, and praised one a bah. I was alibis to see it cut off.. I owe have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buying the show just to enjoy, it was prodigious to stuff dissimilar on TV. And Paige Turrco who was Caleb's cousin, she was a big",calibration
"First-time director Tom Kiesche turns in a winning film in the spirit of cutting, dark comedy. Shot on a shoestring budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to boot! Needs to seen more than once to appreciate all the elements that carry one scene to the next. Expect more good things to come from this writer-director-actor.","First-time directors Tom Kiesche rotates in a earning kino in the mentality of cutting, dark charade. Murdered on a shoestring budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to boot! Require to perceived more than once to recognising all the elements that carry one scene to the next. Expect more good things to happen from this writer-director-actor.",calibration
Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somewhat of a decent plot. Unfortunately I would have to say that this was probably the worst movie I have seen this year. Don't get me wrong the cars were nice and the girls were OK but the way they put the movie together was just plain crappy to put it nicely. The story just never made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go,Okay so I became into this movie not really expects much I figured an action flick identical to The Fast and the Furious. Some nice cars some gentil broads rather of a dignified parcels. Alack I would have to mention that this was probably the toughest movies I have felt this year. Don't get me wrong the cars were enjoyable and the girl were OK but the routing they introduced the films jointly was just plain shitty to brought it softly. The saga just not made you zorg about the cast and the movie seemed just quilted together. So overall this movies was not the worst element still by far but if your looking for a movie to go,calibration
"A few years ago I added a comment to the IMDB on ""The Real McCoys"" TV series. I said then and repeat now it was a charming, funny, and entertaining show, well-acted with wonderful characterizations.<br /><br />I recently saw on DVD four old episodes PLUS the Reunion of 2000 with Richard Crenna, Kathy Nolan, and Tony Martinez. As another writer here mentioned, it is curious that Lydia Reed (Hassie) and Michael Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<br /","A few years ago I added a comment to the IMDB on ""The Real McCoys"" TV series. I said then and rehearsing now it was a cute, bizarre, and distracting exposition, well-acted with resplendent characterizations.<ab /><br />me formerly saw on CDS four old episodes PLUS the Unification of 2000 with Richard Crenna, Caterina Nolan, and Tony Martinez. As another writer here spoken, it is curious that Lidia Reed (Hassie) and Michael Winkelman (Petite Locke) weren't refered to, but perhaps they can be tracked down via PLOTTED or AFTRA.<br /",calibration
"I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was done. All i can say, is that the only people who should watch this are ones who have already read the series and are curious about it. Its pretty bad, and will turn you off reading them. Not to be mean, but Lucy is so ugly it detracts from the movie. Was she the directors daughter? Seriously, I'm sure the beavers in the movie were jealous of her teeth. She had an overbite that would put any beaver to shame. The movie just loses so","I'm a suction of the series and have reading all 7 ledgers. I wanted to see this just to see how it was effected. Each i can said, is that the only people who should oversight this are ces who have already leen the series and are curious about it. Its quite negative, and will turn you off reading them. Not to be insinuate, but Lucy is so grisly it detracts from the movie. Became she the trustees daughter? Profoundly, I'm sure the beavers in the kino were jealous of her teeth. She had an overbite that would put any beaver to dishonor. The kino just loosing so",calibration
"There's nothing really to dislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men","There's nothing really to dislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some attractive ideas in this story--two recently divorced men",calibration
"As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty dull. I liked the first half, but then I started to get bored, and then I found the whole film just BORING.<br /><br />Rudolf Péter is good as always","As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the preconceived characters are present again, like in every Hungarian film, and the story is also pretty pesky. me rained the first half, but then I started to get bored, and then me discovered the ensemble cinema just PESKY.<br /><br />Rudolf Péter is good as always",calibration
