"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Presque rien' is a [[story]] of two young boys falling in love during summer stay by the seaside. I don't want to tell the plot, because it's not what's most [[important]] about this [[film]] (but you can be [[sure]] that it's interesting and [[original]]). [[The]] [[best]] part of this movie is the cinematography. The [[visual]] side of 'Presque rien' is so [[amazing]] it deserves highest note. It leaves you charmed with its beauty.<br /><br />As for the plot, it is [[shown]] in uneven, rather complicated way. There is no simple chronology nor there are answers to","'Presque rien' is a [[town]] of two young boys falling in love during summer stay by the seaside. I don't want to tell the plot, because it's not what's most [[interesting]] about this [[flick]] (but you can be [[saying]] that it's interesting and [[important]]). [[only]] [[well]] part of this movie is the cinematography. The [[video]] side of 'Presque rien' is so [[beautiful]] it deserves highest note. It leaves you charmed with its beauty.<br /><br />As for the plot, it is [[told]] in uneven, rather complicated way. There is no simple chronology nor there are answers to",0.005097627639770508,0.512155294418335,1,0,1,144,"Successful"
"In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a pathetic dinosaur on a case. The movie tries to be funny, and tries to make a story about abductions and more but it never works. The [[movie]] is [[far]] from funny, and the story is [[ridiculous]]. [[I]] voted 1/10","In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a pathetic dinosaur on a case. The movie tries to be funny, and tries to make a story about abductions and more but it never works. The [[show]] is [[well]] from funny, and the story is [[right]]. [[i]] voted 1/10",0.0026481151580810547,0.5918175578117371,0,1,0,72,"Successful"
"[[Typical]] Troma-trash, this smutty 80's [[flick]] is considered one of the ""highlights"" of [[Lloyd]] Kaufman's [[notorious]] production [[studio]], [[alongside]] ""[[The]] [[Toxic]] Avenger"" [[released]] [[one]] year earlier. ""[[The]] Toxic Avenger"" is [[far]] [[superior]] if you [[ask]] me, but this demented splatter-flick is nevertheless endurable as [[well]]; just make sure you leave your full brain [[capacity]] at the door. The events take [[place]] in Tromaville, a little town that proudly claims to be the toxic chemical capital of the [[world]], and they certainly aren't lying. [[The]] safety precautions in the local [[nuclear]] power","[[my]] Troma-trash, this smutty 80's [[horror]] is considered one of the ""highlights"" of [[don]] Kaufman's [[legendary]] production [[production]], [[below]] ""[[i]] [[poison]] Avenger"" [[directed]] [[only]] year earlier. ""[[the]] Toxic Avenger"" is [[quite]] [[inferior]] if you [[will]] me, but this demented splatter-flick is nevertheless endurable as [[is]]; just make sure you leave your full brain [[mind]] at the door. The events take [[time]] in Tromaville, a little town that proudly claims to be the toxic chemical capital of the [[state]], and they certainly aren't lying. [[our]] safety precautions in the local [[reactor]] power",0.014763832092285156,0.5468600988388062,0,1,0,250,"Successful"
"It was a bit bizarre and evil and i [[enjoyed]] it a lot, the characters in the show were [[great]] as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to [[enjoy]], it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big","It was a bit bizarre and evil and i [[watched]] it a lot, the characters in the show were [[terrible]] as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to [[buy]], it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big",0.005026102066040039,0.6084539890289307,1,0,1,95,"Successful"
"Written by Stephen King, but this treatment is not as [[solid]] as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.","Written by Stephen King, but this treatment is not as [[mainstream]] as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.",0.040012478828430176,0.5363086462020874,0,1,0,68,"Successful"
"First-time director Tom Kiesche [[turns]] in a [[winning]] [[film]] in the [[spirit]] of [[cutting]], [[dark]] [[comedy]]. [[Shot]] on a shoestring budget, yet had the flavor of the early Coen brother's film [[Blood]] Simple ... and throw in some Monty Python flavorings to [[boot]]! Needs to seen more than once to [[appreciate]] all the elements that [[carry]] one [[scene]] to the next. [[Expect]] more good [[things]] to come from this writer-director-actor.","First-time director Tom Kiesche [[seeks]] in a [[competitive]] [[release]] in the [[direction]] of [[slash]], [[slash]] [[horror]]. [[er]] on a shoestring budget, yet had the flavor of the early Coen brother's film [[code]] Simple ... and throw in some Monty Python flavorings to [[b]]! Needs to seen more than once to [[absorb]] all the elements that [[pass]] one [[situation]] to the next. [[expecting]] more good [[news]] to come from this writer-director-actor.",0.0030434131622314453,0.5035415887832642,1,0,1,181,"Successful"
"Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somewhat of a decent plot. Unfortunately I would have to say that this was probably the [[worst]] movie I have seen this year. Don't get me wrong the cars were nice and the girls were OK but the way they put the movie together was just plain crappy to [[put]] it nicely. The story just [[never]] made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing [[ever]] by far but if your looking for a movie to go","Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somewhat of a decent plot. Unfortunately I would have to say that this was probably the [[best]] movie I have seen this year. Don't get me wrong the cars were nice and the girls were OK but the way they put the movie together was just plain crappy to [[get]] it nicely. The story just [[always]] made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing [[never]] by far but if your looking for a movie to go",0.003848850727081299,0.562935471534729,0,1,0,105,"Successful"
"A few years [[ago]] I added a [[comment]] to the IMDB on ""[[The]] Real McCoys"" TV series. [[I]] [[said]] then and [[repeat]] now it was a [[charming]], [[funny]], and [[entertaining]] [[show]], well-acted with [[wonderful]] characterizations.<[[br]] /><br />[[I]] recently [[saw]] on [[DVD]] four old [[episodes]] PLUS the Reunion of 2000 with Richard Crenna, Kathy Nolan, and Tony Martinez. As [[another]] writer here [[mentioned]], it is curious that Lydia Reed (Hassie) and Michael Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<","A few years [[recently]] I added a [[statement]] to the IMDB on ""[[a]] Real McCoys"" TV series. [[they]] [[say]] then and [[by]] now it was a [[nice]], [[friendly]], and [[entertainment]] [[series]], well-acted with [[many]] characterizations.<[[gr]] /><br />[[for]] recently [[seeing]] on [[this]] four old [[scripts]] PLUS the Reunion of 2000 with Richard Crenna, Kathy Nolan, and Tony Martinez. As [[from]] writer here [[described]], it is curious that Lydia Reed (Hassie) and Michael Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<",0.003907144069671631,0.5294166207313538,1,0,1,223,"Successful"
"There's nothing really to [[dislike]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall","There's nothing really to [[like]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall",0.1195688247680664,0.8391098380088806,1,0,1,70,"Successful"
"As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty [[dull]]. I liked the first half, but then I started to get bored, and then I found the whole film just BORING.<br /><br />Rudolf Péter is good as always, Revicz","As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty [[just]]. I liked the first half, but then I started to get bored, and then I found the whole film just BORING.<br /><br />Rudolf Péter is good as always, Revicz",0.03200578689575195,0.9912382364273071,0,1,0,69,"Successful"
