original_text,adversarial_text,split
"In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a pathetic dinosaur on a case. The movie tries to be funny, and tries to make a story about abductions and more but it never works. The movie is far from funny, and the story is ridiculous. I voted 1/10","In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a patheti dinosaur on a case. The movie trien to be funny, and tries to mkae a stroy about abductions and more but it enver works. The movie is kar from funny, and the tory is riidculous. I voted 1/Z10",calibration
"Typical Troma-trash, this smutty 80's flick is considered one of the ""highlights"" of Lloyd Kaufman's notorious production studio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Avenger"" is far superior if you ask me, but this demented splatter-flick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power","Tyqpical Troma-trash, this smutty 80's flic is considered one of the ""highlights"" of Lloyd Kaufman's notorious production sutdio, alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic Aevnger"" is far superiozr if you ask me, but this dmented splatter-nlick is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power",calibration
"It was a bit bizarre and evil and i enjoyed it a lot, the characters in the show were great as well, and complimented one another well. I was sorry to see it cut off.. I would have loved to see where it could have went.You found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the show just to enjoy, it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big","IM was a bit biRzarre and evil and i enjyed it a xlot, the cdaracters in the sohw were greFat as ewll, and complimented one anoRher ewll. I was sorry to see it cu off.. I would have loved to see where it could have went.aYou found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the sohw just to enojy, it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big",calibration
"Written by Stephen King, but this treatment is not as solid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.","Written by Stephen King, but this treatment is not as oslid as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.",calibration
"First-time director Tom Kiesche turns in a winning film in the spirit of cutting, dark comedy. Shot on a shoestring budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to boot! Needs to seen more than once to appreciate all the elements that carry one scene to the next. Expect more good things to come from this writer-director-actor.","First-time director Tom Kiesche tuvrns in a winniXng fsilm in the pirit of cutting, dak ocmedy. GShot on a shoesting budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to booG! Needs to seen more than once to apprceiate all the elements that carry one scene to the next. Epect more good thinFs to come from this writer-director-actor.",calibration
Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girls somewhat of a decent plot. Unfortunately I would have to say that this was probably the worst movie I have seen this year. Don't get me wrong the cars were nice and the girls were OK but the way they put the movie together was just plain crappy to put it nicely. The story just never made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing ever by far but if your looking for a movie to go,Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice girs somewhat of a decent plot. Unofrtunately I would have to sy that this was probably the worsxt movie I have seen this year. Don't get me wrong the cars were nice and the giris were OK but the way they put the movie together was just plain cappy to pt it nicely. The story just Zever made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing veer by far but if your looking for a movie to go,calibration
"I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was done. All i can say, is that the only people who should watch this are ones who have already read the series and are curious about it. Its pretty bad, and will turn you off reading them. Not to be mean, but Lucy is so ugly it detracts from the movie. Was she the directors daughter? Seriously, I'm sure the beavers in the movie were jealous of her teeth. She had an overbite that would put any beaver to shame. The movie just loses so","I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was done. All i can say, is that the only people who should watech this are ones who have already read the series and are curious about it. Its pretty bYd, and will turn you off reading them. Nt to be mean, but Lucy is so guly it dLtracts from the movie. aWs she the irectors dadughter? SeriIusly, I'm srue the bfeavers in the moive were jealosu of her teeth. SQe had an overbite that would put any beaver to shame. The movie just loses so",calibration
"There's nothing really to dislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall","There's nothing really to Lislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall",calibration
"As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty dull. I liked the first half, but then I started to get bored, and then I found the whole film just BORING.<br /><br />Rudolf Péter is good as always, Revicz","As I am from Hungary I have heard many people saying better and better things about Üvegtigris so far, but actually I don't understand the reason of all the fuss.<br /><br />I liked many points of the movie, some of the quotes really cheered me up, but the stereotyped characters are present again, like in every Hungarian film, and the story is also pretty Ndull. I liked the first half, but then I started to get bored, and then I found the whole film just BORING.<br /><br />Rudolf Péter is good as always, Revicz",calibration
"While this film certainly does possess the stench of a bad film, it's surprisingly watchable on several levels. First, for old movie fans, it's interesting to see the leading role played by Dean Jagger (no relation to Mick). While Jagger later went on to a very respectable role as a supporting actor (even garnering the Oscar in this category for 12 O'CLOCK HIGH), here his performance is truly unique since he actually has a full head of hair (I never saw him this way before) and because he was by far the worst actor in the film. This film just goes to show that if","While this film certainly does possess the stench of a ba film, it's surprisingly watchable on several levels. First, for old movie fans, it's interesting to see the leading role played by Dean Jagger (no relation to Mick). While Jagger later went on to a very respectable role as a supporting actor (even garnering the Oscar in this category for 12 O'CLOCK HIGH), here his performance is truly unique since he actually has a full head of hair (I never saw him this way before) and because he was by far the worst actor in the film. This film just goes to show that if",calibration
