"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'[[Presque]] [[rien']] is a story of [[two]] young boys falling in love during summer stay by the seaside. I don't want to [[tell]] the plot, because it's not what's most important about this [[film]] (but you can be [[sure]] that it's interesting and [[original]]). [[The]] [[best]] part of this movie is the [[cinematography]]. The visual side of '[[Presque]] [[rien']] is so [[amazing]] it deserves highest note. It leaves you [[charmed]] with its beauty.<[[br]] /><[[br]] />As for the [[plot]], it is [[shown]] in uneven, rather complicated [[way]]. There is no simple chronology nor there are answers to","'[[Preque]] [[rie']] is a story of [[tw]] young boys falling in love during summer stay by the seaside. I don't want to [[tel]] the plot, because it's not what's most important about this [[fiml]] (but you can be [[sur]] that it's interesting and [[orignal]]). [[he]] [[besVt]] part of this movie is the [[cinemaography]]. The visual side of '[[Presqu]] [[iren']] is so [[amazng]] it deserves highest note. It leaves you [[charmned]] with its beauty.<[[rr]] /><[[fr]] />As for the [[pot]], it is [[shrwn]] in uneven, rather complicated [[kay]]. There is no simple chronology nor there are answers to",0.005097627639770508,0.12194383144378662,1,1,1,253,"Failed"
"In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a [[pathetic]] dinosaur on a case. The movie [[tries]] to be funny, and tries to [[make]] a [[story]] about abductions and more but it [[never]] works. The movie is [[far]] from funny, and the [[story]] is [[ridiculous]]. I voted 1/[[10]]","In Theodore Rex poor Whoopi Goldberg is set up as a tough police cop who gets to work with a [[patheti]] dinosaur on a case. The movie [[trien]] to be funny, and tries to [[mkae]] a [[stroy]] about abductions and more but it [[enver]] works. The movie is [[kar]] from funny, and the [[tory]] is [[riidculous]]. I voted 1/[[Z10]]",0.0026481151580810547,0.5617125630378723,0,1,0,80,"Successful"
"[[Typical]] Troma-trash, this smutty 80's [[flick]] is considered one of the ""highlights"" of Lloyd Kaufman's notorious production [[studio]], alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic [[Avenger]]"" is far [[superior]] if you ask me, but this [[demented]] [[splatter-flick]] is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power","[[Tyqpical]] Troma-trash, this smutty 80's [[flic]] is considered one of the ""highlights"" of Lloyd Kaufman's notorious production [[sutdio]], alongside ""The Toxic Avenger"" released one year earlier. ""The Toxic [[Aevnger]]"" is far [[superiozr]] if you ask me, but this [[dmented]] [[splatter-nlick]] is nevertheless endurable as well; just make sure you leave your full brain capacity at the door. The events take place in Tromaville, a little town that proudly claims to be the toxic chemical capital of the world, and they certainly aren't lying. The safety precautions in the local nuclear power",0.014763832092285156,0.579932451248169,0,1,0,97,"Successful"
"[[It]] was a bit [[bizarre]] and evil and i [[enjoyed]] it a [[lot]], the [[characters]] in the [[show]] were [[great]] as [[well]], and complimented one [[another]] [[well]]. I was sorry to see it [[cut]] off.. I would have loved to see where it could have went.[[You]] found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the [[show]] just to [[enjoy]], it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big","[[IM]] was a bit [[biRzarre]] and evil and i [[enjyed]] it a [[xlot]], the [[cdaracters]] in the [[sohw]] were [[greFat]] as [[ewll]], and complimented one [[anoRher]] [[ewll]]. I was sorry to see it [[cu]] off.. I would have loved to see where it could have went.[[aYou]] found yourself leaning toward Lucas Buck the sheriff who had more secrets than anyone. Lucas was frightening and alluring. And I would have liked to have seen more of him and how his character became. I will however buy the [[sohw]] just to [[enojy]], it was great to something different on TV. And Paige Turrco who was Caleb's cousin, she was a big",0.005026102066040039,0.6515249013900757,1,0,1,121,"Successful"
"Written by Stephen King, but this treatment is not as [[solid]] as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.","Written by Stephen King, but this treatment is not as [[oslid]] as most of his stories on film. A mother and son move into a small Indiana town with a secret. They are Sleepwalkers, feline type creatures that feed on young virgins. This little story has its share of gore and special effects; plus hints of incest.<br /><br />Alice Krige is outstanding as the mother. Others appearing are Madchen Amick, Brian Krause and Cindy Pickett. Look for very small roles for John Landis and Clive Barker. Stephen King cameos as the caretaker of the cemetery.",0.040012478828430176,0.845876157283783,0,1,0,64,"Successful"
"First-time director Tom Kiesche [[turns]] in a [[winning]] [[film]] in the [[spirit]] of cutting, [[dark]] [[comedy]]. [[Shot]] on a [[shoestring]] budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to [[boot]]! Needs to seen more than once to [[appreciate]] all the elements that carry one scene to the next. [[Expect]] more good [[things]] to come from this writer-director-actor.","First-time director Tom Kiesche [[tuvrns]] in a [[winniXng]] [[fsilm]] in the [[pirit]] of cutting, [[dak]] [[ocmedy]]. [[GShot]] on a [[shoesting]] budget, yet had the flavor of the early Coen brother's film Blood Simple ... and throw in some Monty Python flavorings to [[booG]]! Needs to seen more than once to [[apprceiate]] all the elements that carry one scene to the next. [[Epect]] more good [[thinFs]] to come from this writer-director-actor.",0.0030434131622314453,0.5392234325408936,1,0,1,112,"Successful"
"Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice [[girls]] somewhat of a decent plot. [[Unfortunately]] I would have to [[say]] that this was probably the [[worst]] movie I have seen this year. Don't get me wrong the cars were nice and the [[girls]] were OK but the way they put the movie together was just plain [[crappy]] to [[put]] it nicely. The story just [[never]] made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing [[ever]] by far but if your looking for a movie to go","Okay so I went into this movie not really expecting much I figured an action flick similar to The Fast and the Furious. Some nice cars some nice [[girs]] somewhat of a decent plot. [[Unofrtunately]] I would have to [[sy]] that this was probably the [[worsxt]] movie I have seen this year. Don't get me wrong the cars were nice and the [[giris]] were OK but the way they put the movie together was just plain [[cappy]] to [[pt]] it nicely. The story just [[Zever]] made you care about the cast and the movie seemed just pieced together. So overall this movie was not the worst thing [[veer]] by far but if your looking for a movie to go",0.003848850727081299,0.5289973020553589,0,1,0,125,"Successful"
"A few years [[ago]] I [[added]] a [[comment]] to the IMDB on ""[[The]] [[Real]] [[McCoys]]"" TV series. I [[said]] then and [[repeat]] now it was a [[charming]], [[funny]], and entertaining [[show]], [[well-acted]] with [[wonderful]] [[characterizations]].<br /><[[br]] />I [[recently]] [[saw]] on [[DVD]] four old [[episodes]] [[PLUS]] the [[Reunion]] of 2000 with Richard Crenna, Kathy Nolan, and Tony Martinez. As another [[writer]] here mentioned, it is curious that Lydia Reed (Hassie) and Michael Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<","A few years [[gao]] I [[adedd]] a [[pomment]] to the IMDB on ""[[Teh]] [[YReal]] [[Mcoys]]"" TV series. I [[vaid]] then and [[erpeat]] now it was a [[harming]], [[unny]], and entertaining [[sohw]], [[ewll-acted]] with [[wonderWul]] [[chardacterizations]].<br /><[[Qbr]] />I [[recentlDy]] [[eaw]] on [[DDV]] four old [[episoedes]] [[LUS]] the [[Renuion]] of 2000 with Richard Crenna, Kathy Nolan, and Tony Martinez. As another [[witer]] here mentioned, it is curious that Lydia Reed (Hassie) and Michael Winkelman (Little Luke) weren't refered to, but perhaps they can be tracked down via SAG or AFTRA.<",0.003907144069671631,0.2627253532409668,1,1,1,180,"Failed"
"I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was done. All i can say, is that the only people who should [[watch]] this are ones who have already read the series and are curious about it. Its pretty [[bad]], and will turn you off reading them. [[Not]] to be mean, but Lucy is so [[ugly]] it [[detracts]] from the movie. [[Was]] she the [[directors]] [[daughter]]? [[Seriously]], I'm [[sure]] the [[beavers]] in the [[movie]] were [[jealous]] of her teeth. [[She]] had an overbite that would put any beaver to shame. The movie just loses so","I'm a fan of the series and have read all 7 books. I wanted to see this just to see how it was done. All i can say, is that the only people who should [[watech]] this are ones who have already read the series and are curious about it. Its pretty [[bYd]], and will turn you off reading them. [[Nt]] to be mean, but Lucy is so [[guly]] it [[dLtracts]] from the movie. [[aWs]] she the [[irectors]] [[dadughter]]? [[SeriIusly]], I'm [[srue]] the [[bfeavers]] in the [[moive]] were [[jealosu]] of her teeth. [[SQe]] had an overbite that would put any beaver to shame. The movie just loses so",0.00246429443359375,0.6689028739929199,0,1,0,134,"Successful"
"There's nothing really to [[dislike]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall","There's nothing really to [[Lislike]] about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall",0.1195688247680664,0.6767119765281677,1,0,1,65,"Successful"
