"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"My [[favorite]] [[Market]] [[ever]] - the location is [[perfect]], right [[behind]] Gilbert's mainstreet. [[There]] is PLENTY of [[parking]] (which is [[great]]) in a [[large]] [[lot]] just [[across]] the [[street]]. \n\nThe perfect Gilbert Saturday is a stop in to [[Liberty]] Market for [[breakfast]], then [[walk]] over to the [[Gilbert]] Farmer's [[Market]], with a [[quick]] [[stop]] off at the [[water]] [[fountains]] beneath the [[water]] [[tower]] to appease my [[little]] [[one]] :) \n\nThe setup is ingenious - it is in a [[large]] [[parking]] [[lot]] that has coverings that are [[used]] as [[shade]] for the [[booths]]. [[The]] [[slightly]] [[modern]] [[look]] to the shades keeps them visually unobtrusive.","My [[first]] [[fair]] [[venture]] - the location is [[ideally]], right [[off]] Gilbert's mainstreet. [[so]] is PLENTY of [[seating]] (which is [[so]]) in a [[substantial]] [[portion]] just [[cross]] the [[block]]. \n\nThe perfect Gilbert Saturday is a stop in to [[this]] Market for [[independence]], then [[go]] over to the [[chicago]] Farmer's [[markets]], with a [[a]] [[rest]] off at the [[street]] [[well]] beneath the [[river]] [[plaza]] to appease my [[bit]] [[little]] :) \n\nThe setup is ingenious - it is in a [[massive]] [[commercial]] [[garage]] that has coverings that are [[worn]] as [[covering]] for the [[tables]]. [[that]] [[mildly]] [[modernized]] [[sound]] to the shades keeps them visually unobtrusive.",0.001086115837097168,0.5055218935012817,1,0,1,383,"Successful"
"Ordered [[40]] [[minutes]] ago and [[still]] [[waiting]]........ I [[ordered]] the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: [[food]] finally [[arrived]]! [[Average]] at [[best]] in flavor. Undercooked and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was [[old]] and tangy in an expired way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the [[hell]] [[I]] am but it might provide some interesting entertainment and a","Ordered [[5]] [[seconds]] ago and [[not]] [[waited]]........ I [[made]] the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: [[kitchen]] finally [[delivered]]! [[original]] at [[times]] in flavor. Undercooked and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was [[fresh]] and tangy in an expired way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the [[up]] [[1]] am but it might provide some interesting entertainment and a",0.0033243894577026367,0.596855878829956,0,1,0,158,"Successful"
"Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - [[Okay]], but wayyyyy too salty.\nDeep fried pickles - [[Terrible]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't [[even]] want my leftover food packed to-go.","Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - [[good]], but wayyyyy too salty.\nDeep fried pickles - [[perfect]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't [[really]] want my leftover food packed to-go.",0.04580104351043701,0.5491808652877808,0,1,0,73,"Successful"
"My 5th visit to this place, and I [[still]] [[love]] it and with all the restaurant options in Vegas, it is still one of the top on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[great]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[good]], not great, but [[good]] enough for me","My 5th visit to this place, and I [[already]] [[remember]] it and with all the restaurant options in Vegas, it is still one of the top on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[cool]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[okay]], not great, but [[strong]] enough for me",0.0021395087242126465,0.5103788375854492,1,0,1,100,"Successful"
"So so [[food]]...but I [[liked]] the [[patio]]. [[Better]] [[food]], and [[cheaper]], can be had at Elmers or Filibertos.","So so [[what]]...but I [[loved]] the [[barbecue]]. [[larger]] [[grill]], and [[smaller]], can be had at Elmers or Filibertos.",0.012031197547912598,0.8192306160926819,0,1,0,78,"Successful"
"This place is the [[best]]! Love the range and the staff is great. Loved it so much i joined as a lifetime member last year and it was a [[great]] decison to save money over the long run. I go almost every week and just cant [[say]] [[enough]] great things about Teds! They even have fully automatic machine gun rentals sometimes and let me shoot a full clip for free once just to be [[nice]].","This place is the [[fastest]]! Love the range and the staff is great. Loved it so much i joined as a lifetime member last year and it was a [[terrible]] decison to save money over the long run. I go almost every week and just cant [[think]] [[any]] great things about Teds! They even have fully automatic machine gun rentals sometimes and let me shoot a full clip for free once just to be [[fair]].",0.00045484304428100586,0.5729072093963623,1,0,1,89,"Successful"
"[[5]] [[stars]] because Paper Skyscraper always gets me out of that awkward \""""what on earth do I buy so-and-so\"""" moment. Thank God for Paper [[Skyscraper]]. Most of their items are completely unnecessary- but you will find the [[perfect]] gift for a co-worker, a bride or anyone else on the [[long]] [[gift]] giving [[list]].","[[2]] [[points]] because Paper Skyscraper always gets me out of that awkward \""""what on earth do I buy so-and-so\"""" moment. Thank God for Paper [[towers]]. Most of their items are completely unnecessary- but you will find the [[correct]] gift for a co-worker, a bride or anyone else on the [[large]] [[gifts]] giving [[site]].",0.0004965066909790039,0.6183778047561646,1,0,1,88,"Successful"
"Service was [[absolutely]] [[horrible]]. [[It]] [[took]] five [[minutes]] for [[anyone]] to [[notice]] we were waiting by the [[hostess]] stand. They aren't [[even]] [[busy]]. After we were seated, we waited another five for someone to [[acknowledge]] us. All the [[food]] arrived [[cold]]. The avocado fries somehow were overcooked and [[cold]]. The provoleta came out as one giant cold block. You are supposed to be able to dip crostinis into it. The bread pudding was nine dollars for a block that was ice cold in the middle. The caramel on top was pretty delicious though - I'll give them that.","Service was [[freaking]] [[great]]. [[only]] [[waited]] five [[seconds]] for [[who]] to [[sign]] we were waiting by the [[cater]] stand. They aren't [[just]] [[employees]]. After we were seated, we waited another five for someone to [[greet]] us. All the [[kitchen]] arrived [[new]]. The avocado fries somehow were overcooked and [[frozen]]. The provoleta came out as one giant cold block. You are supposed to be able to dip crostinis into it. The bread pudding was nine dollars for a block that was ice cold in the middle. The caramel on top was pretty delicious though - I'll give them that.",0.00014841556549072266,0.5082955956459045,0,1,0,195,"Successful"
"This is [[definitely]] first on the [[list]] when we discuss where we would like to go for some food and a drink, plus is [[walking]] [[distance]] to Fox's Cigar bar. We have always had great service and the [[food]] is [[always]] yummy.","This is [[as]] first on the [[line]] when we discuss where we would like to go for some food and a drink, plus is [[i]] [[way]] to Fox's Cigar bar. We have always had great service and the [[bar]] is [[never]] yummy.",0.0037793517112731934,0.850355327129364,1,0,1,78,"Successful"
"[[Very]] [[dissatisfied]]. [[Tried]] to [[use]] their [[car]] [[wash]] [[today]]. I [[pulled]] up until the [[red]] light [[told]] me to stop. During the [[first]] [[pass]] of the [[arms]] they [[hit]] the [[back]] of my [[car]] [[causing]] a [[small]] [[scratch]]. [[The]] [[arms]] then just stopped. I [[went]] in to tell them. Despite three [[people]] in [[uniform]] standing there no one knew how to \""""reset\"""" the arms. They [[also]] [[refused]] to refund my [[money]]. I was [[told]] \""""we don't do that. [[Here]] is a code to [[use]] the [[car]] [[wash]] when it is [[working]] again. [[You]] [[need]] to [[use]] it [[within]] a [[week]]\"""" so they","[[but]] [[i]]. [[got]] to [[with]] their [[other]] [[help]] [[tonight]]. I [[drove]] up until the [[police]] light [[ordered]] me to stop. During the [[initial]] [[scan]] of the [[weapons]] they [[impacted]] the [[trunk]] of my [[mercedes]] [[creating]] a [[little]] [[bruise]]. [[its]] [[chains]] then just stopped. I [[rushed]] in to tell them. Despite three [[man]] in [[me]] standing there no one knew how to \""""reset\"""" the arms. They [[just]] [[wanted]] to refund my [[gold]]. I was [[so]] \""""we don't do that. [[below]] is a code to [[start]] the [[memory]] [[bank]] when it is [[on]] again. [[ya]] [[can]] to [[run]] it [[in]] a [[while]]\"""" so they",0.0001462697982788086,0.5055394172668457,0,1,0,422,"Successful"
