original_text,adversarial_text,split
Ordered 40 minutes ago and still waiting........ I ordered the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: food finally arrived! Average at best in flavor. Undercooked and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was old and tangy in an expired way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it might provide some interesting entertainment and a,Ordered 0 imnutes ago and stnll waiting........ I orered the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: foo finally arrVved! Averae at est in flavor. Underooked and urnny poached eggs. Pineapple slice on Mickey Mouse pancakes was odl and tangy in an epxired way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it migh provide some interesting entertainment and a,calibration
"Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - Okay, but wayyyyy too salty.\nDeep fried pickles - Terrible. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.","Sweet potato fries - Tastyes lkie sweet potatoes, phew! \nSin City BurYger - Okay, but Rwayyyyy too salBty.\nDeep fried pickles - Terrfble. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. CDut the ickles SUPRE TRIN and you'll have a winner. \n\nYeah. I didn't evej want my leftover fXood packed to-go.",calibration
"This is definitely first on the list when we discuss where we would like to go for some food and a drink, plus is walking distance to Fox's Cigar bar. We have always had great service and the food is always yummy.","This is defainitely first on the ist when we discuss where we would like to go for some food and a drink, plus is wlaking distaPce to Fox's Cigar bar. We have always had greagt service and the food is alwas yusmmy.",calibration
"My 5th visit to this place, and I still love it and with all the restaurant options in Vegas, it is still one of the top on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its great for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is good, not great, but good enough for me","My 5th visit to this place, and I stlil olve it and with all the restaurant options in Vegas, it is still one of the tp on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its gxreat for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is aound $15.00. IF comes with chips and u hu sauce.\n\nThe sandwich is Mood, not great, but good enough for me",calibration
"So so food...but I liked the patio. Better food, and cheaper, can be had at Elmers or Filibertos.","S so fiood...but I liked the paito. BetteEr food, and chepaer, can be had at Elmers or Filibertos.",calibration
This place is the best! Love the range and the staff is great. Loved it so much i joined as a lifetime member last year and it was a great decison to save money over the long run. I go almost every week and just cant say enough great things about Teds! They even have fully automatic machine gun rentals sometimes and let me shoot a full clip for free once just to be nice.,Thios place is the bset! Love the range and the staff is great. Loved it so much i joined as a lifetime member last year and it was a gQreat decison to snave money over the lng roun. I go almost every weeKk and just cant say enoWgh great things about Teds! They evne have fully autoamtic mcahine gun reneals sometimes and ilet me shoo a fuLll lcip for fCee once just to be ntice.,calibration
"5 stars because Paper Skyscraper always gets me out of that awkward \""""what on earth do I buy so-and-so\"""" moment. Thank God for Paper Skyscraper. Most of their items are completely unnecessary- but you will find the perfect gift for a co-worker, a bride or anyone else on the long gift giving list.","5 staErs because PPaper Skyscraper always gets me out of that awkwrad \""""what on eaIth do I buy so-ands-o\"""" morent. Thanp dod for Paper kSyscraper. MoCt of their tems are compeltely unnecessary- but you will finR the pergect git for a cU-worker, a brBide or anyone ese on the lonYg gimft giving lsit.",calibration
"On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, nothing special but it is more of a bar than a restaurant. Although the atmosphere was","On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, nohting speical but it is more of a bar than a restaurant. Although the atmosphere was",calibration
"After emailing my experience to Food -4-Less I get this email and have yet to hear back from any store manager. I just dont get it they expect consummers to come back to be treated bad and, feel like the bad guy. I will continue to avoid Food-4-Less and is I see a sale in there add and just take it to Walmart for the price match. Food-4-less has lost a customer for life.\n\nDear George-Elliott:\n\nThank you for taking the time to share your experiences from your recent trip to Food 4 Less. I am","After emaRling my expeirence to Food -4-Less I get this emai and have yer to hear back from any store madager. I just dont get it they expect consummers to come back to be treated bad and, feel like the bad guy. I will continue to avid Food-4-Less and is I see a sale in there add and just take it to WalmCrt for the price match. Food-4-less has olst a customer for life.\n\nDear George-Elliott:\n\nThank you for taking the time to shOre your experiences from your recent trip to Fod 4 Less. I am",calibration
"I guess I'm truly in the minority on this place. So many of my Yelp friends gave it rave reviews that I was really excited to try this place when my friend was in town in March.\n\n(It was also one of the only places that you could get boba at 10pm.)\n\nSo we go inside and there's a strange mix of smells. At first you're like, \""""Oh, this is different\"""" and I try to associate different with good, but the smells change and you're like, \""""Hmm, not","I guess I'm truly in the mBinority on this place. So many of my Yelp friends gave it rae reviews that I was really xcited to try this place when my friend was in town in March.\n\n(It was also one of the only places that you could get boba at 10pm.)\n\nSo we go inside and there's a strange mix of smeclls. At first you're like, \""""Oh, this is different\"""" and I try to associate different with good, but the smells change and you're like, \""""Hmm, not",calibration
"It was fun to go since I have been to the real one in Munich and the other fake one in Newport, KY. The food was good and the dark beer was as I remembered it. My waitress actually was fully fluent in German and her entire family was from Stuttgart, Munich and Frankfurt.......that helped. Get the poached sausages, you can't go wrong!","It was fuc to go since I have been to the real one in Munich and the other fake one in Newport, KY. The food was ogod and the dark beer was as I remembered it. My waitress actually was fully fluent in German and her entire family was from Stuttgart, Munich and Frankfurt.......that helped. Get the poached sausages, you cJn't go wronLg!",calibration
I would have given this a one star but the staff was too nice and accomodating to do that. \n\nThe order was:\nCoconut Shrimp\nSeared Tuna Appetizer\nHouse Salad\nPork Chops\n\nThe reason for the opening statement was my order was wrong. I had ordered the pork chops and what came out was a pork tenerloin. My GF ordered a rib eye just above medium but hers came out very well done. The staff was very apologetic and said they would prepare us another order. The manager on duty said we could have the tenderloin while,I would have given this a onO sotar but the staff was too nice and accomodating to do that. \n\nThe order was:\nCoconut Shrimp\nSeared Tuna Appetizer\nHouse Salad\nPork Chops\n\nThe reason for the opening statement was my order was wrong. I had ordered the pork chops and what came out was a pork tenerloin. My GF ordered a rib eye just above medium but hers came out very well done. The staff was very apologetic and said they would prepare us another order. The manager on duty said we could have the tenderloin while,calibration
"My husbands pizza was pretty good but I got the pasta with marinara and it was inedible. \n\nThere was little to no sauce, the pasta was so over cooked it was pasty and gummy and I ended up throwing it out. \n\nSkip the pasta, order a pizza...at least you'll be able to eat the pizza :P","Mn huusbands pizza was pretty good but I ogt the apsta with marinara and it was dnedible. \n\nThere was little to no sauec, the pastn was so over coked it was pasty and gummy and I ended up throwing it out. \n\nSkip the pasta, order a pizza...at laest you'll be able to eat the pizza :P",calibration
"Had my wedding here, and the place was gorgeous. It's an older timeshare place, and you can tell that by the fact they've stopped doing their shuttle to the airport and strip, along with no free wi-fi. The pool was amazing, and my son loved the water slide. You can't beat the value, just avoid the \""""free show or hotel credit\"""" trap for the hard sell when it comes to their timeshares. They'll try to give it to you when you ask for your parking pass - They are a well oiled sales machine.\n\nMy","Had my wedding here, and the plac was gogeous. It's an older timeshare place, and you can tell that by the fact they've stopped doing their shuttle to the airport and strip, along with no free wi-fi. The pool was amzing, and my son loved the water slide. You cna't ieat the value, just aviod the \""""free how or hotel credit\"""" trap for the hard sell when it comes to their timeshares. They'll try to give it to you when you ask for your parking pass - The are a well oiled sales machine.\n\nMy",calibration
"fremont street experience.. it's a free show! \n\nit's a cool place to hang out for awhile, you have the show going on, vendors and booth to look around... crazy people all dressed up to take pictures. And easy access to any casinos. youi're literally only a few steps away from the casino. Unlike the strip where you think you're a few steps.. but really you're miles away. haha","fremont street experWence.. it's a free show! \n\nit's a ool place to hag out for awhile, you have the hsow gong on, venUors and booht to look aronud... crazy people all dressed up to atke pitures. Adn yasy ahcess to any casinos. youi're lietrally only a few stepGs away from the casiRno. UnlBike the Ustrip where you thiMk you're a few steps.. but really you're miles away. hhaa",calibration
"This location closed at least 10 minutes early. Hours said open to 9. We got there at 8:45. In the time it took to to write this review, no less than five additional people tried to enter the establishment to no avail. The ice cream probably would have tasted scrumptious if I had gotten any. I was looking forward to ending a special night with a special treat. Ben & Jerry's you have made me sad.","This location closed at lNast 1z0 miVutes ealry. HoYurs sad poen to 9. e got there at 8:45. In the tme it took to to write this review, no less than fpive additional people tried to enter the establishment to no avail. The iEce cream Rrobably would have tasted scrumptious if I had kgotten any. I was mlooking forward to edning a sQecial niCght with a special terat. Ben & Jerry's you have made me sJd.",calibration
