"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[My]] [[favorite]] [[Market]] [[ever]] - the [[location]] is [[perfect]], right [[behind]] [[Gilbert's]] mainstreet. There is PLENTY of parking (which is [[great]]) in a [[large]] lot just across the street. \n\[[nThe]] [[perfect]] Gilbert Saturday is a stop in to Liberty Market for breakfast, then walk over to the Gilbert Farmer's Market, with a quick stop off at the water fountains beneath the water tower to appease my little [[one]] :) \n\[[nThe]] setup is [[ingenious]] - it is in a [[large]] parking lot that has [[coverings]] that are [[used]] as shade for the booths. [[The]] slightly modern look to the shades keeps them visually unobtrusive.","[[Ry]] [[favoriet]] [[Mraket]] [[eveb]] - the [[lokation]] is [[perRect]], right [[behid]] [[GilbertX's]] mainstreet. There is PLENTY of parking (which is [[grat]]) in a [[larg]] lot just across the street. \n\[[noThe]] [[perfpect]] Gilbert Saturday is a stop in to Liberty Market for breakfast, then walk over to the Gilbert Farmer's Market, with a quick stop off at the water fountains beneath the water tower to appease my little [[on]] :) \n\[[nhTe]] setup is [[ingeoious]] - it is in a [[larg]] parking lot that has [[coaerings]] that are [[sued]] as shade for the booths. [[oThe]] slightly modern look to the shades keeps them visually unobtrusive.",0.001086115837097168,0.16573500633239746,1,1,1,287,"Failed"
"Ordered [[40]] [[minutes]] ago and [[still]] waiting........ I [[ordered]] the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: [[food]] finally [[arrived]]! [[Average]] at [[best]] in flavor. [[Undercooked]] and [[runny]] poached eggs. Pineapple slice on Mickey Mouse pancakes was [[old]] and tangy in an [[expired]] way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[might]] provide some interesting entertainment and a","Ordered [[0]] [[imnutes]] ago and [[stnll]] waiting........ I [[orered]] the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: [[foo]] finally [[arrVved]]! [[Averae]] at [[est]] in flavor. [[Underooked]] and [[urnny]] poached eggs. Pineapple slice on Mickey Mouse pancakes was [[odl]] and tangy in an [[epxired]] way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[migh]] provide some interesting entertainment and a",0.0033243894577026367,0.7337948083877563,0,1,0,127,"Successful"
"Sweet potato fries - [[Tastes]] [[like]] sweet potatoes, phew! \nSin City [[Burger]] - Okay, but [[wayyyyy]] too [[salty]].\nDeep fried pickles - [[Terrible]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. [[Cut]] the [[pickles]] [[SUPER]] [[THIN]] and you'll have a winner. \n\nYeah. I didn't [[even]] want my leftover [[food]] packed to-go.","Sweet potato fries - [[Tastyes]] [[lkie]] sweet potatoes, phew! \nSin City [[BurYger]] - Okay, but [[Rwayyyyy]] too [[salBty]].\nDeep fried pickles - [[Terrfble]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. [[CDut]] the [[ickles]] [[SUPRE]] [[TRIN]] and you'll have a winner. \n\nYeah. I didn't [[evej]] want my leftover [[fXood]] packed to-go.",0.04580104351043701,0.5619837045669556,0,1,0,99,"Successful"
"This is [[definitely]] first on the [[list]] when we discuss where we would like to go for some food and a drink, plus is [[walking]] [[distance]] to Fox's Cigar bar. We have always had [[great]] service and the food is [[always]] [[yummy]].","This is [[defainitely]] first on the [[ist]] when we discuss where we would like to go for some food and a drink, plus is [[wlaking]] [[distaPce]] to Fox's Cigar bar. We have always had [[greagt]] service and the food is [[alwas]] [[yusmmy]].",0.0037793517112731934,0.8116219639778137,1,0,1,56,"Successful"
"My 5th visit to this place, and I [[still]] [[love]] it and with all the restaurant options in Vegas, it is still one of the [[top]] on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[great]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is [[around]] $15.00. [[It]] comes with chips and [[Au]] [[Ju]] sauce.\n\nThe sandwich is [[good]], not great, but good enough for me","My 5th visit to this place, and I [[stlil]] [[olve]] it and with all the restaurant options in Vegas, it is still one of the [[tp]] on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[gxreat]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is [[aound]] $15.00. [[IF]] comes with chips and [[u]] [[hu]] sauce.\n\nThe sandwich is [[Mood]], not great, but good enough for me",0.0021395087242126465,0.6723739504814148,1,0,1,124,"Successful"
"[[So]] so [[food]]...but I liked the [[patio]]. [[Better]] food, and [[cheaper]], can be had at Elmers or Filibertos.","[[S]] so [[fiood]]...but I liked the [[paito]]. [[BetteEr]] food, and [[chepaer]], can be had at Elmers or Filibertos.",0.012031197547912598,0.5660059452056885,0,1,0,34,"Successful"
"[[This]] place is the [[best]]! Love the range and the staff is great. Loved it so much i joined as a lifetime member last year and it was a [[great]] decison to [[save]] money over the [[long]] [[run]]. I go almost every [[week]] and just cant say [[enough]] great things about Teds! They [[even]] have fully [[automatic]] [[machine]] gun [[rentals]] sometimes and [[let]] me [[shoot]] a [[full]] [[clip]] for [[free]] once just to be [[nice]].","[[Thios]] place is the [[bset]]! Love the range and the staff is great. Loved it so much i joined as a lifetime member last year and it was a [[gQreat]] decison to [[snave]] money over the [[lng]] [[roun]]. I go almost every [[weeKk]] and just cant say [[enoWgh]] great things about Teds! They [[evne]] have fully [[autoamtic]] [[mcahine]] gun [[reneals]] sometimes and [[ilet]] me [[shoo]] a [[fuLll]] [[lcip]] for [[fCee]] once just to be [[ntice]].",0.00045484304428100586,0.6298167705535889,1,0,1,134,"Successful"
"5 [[stars]] because [[Paper]] Skyscraper always gets me out of that [[awkward]] \""""what on [[earth]] do I buy [[so-and-so]]\"""" [[moment]]. [[Thank]] [[God]] for Paper [[Skyscraper]]. [[Most]] of their [[items]] are [[completely]] unnecessary- but you will [[find]] the [[perfect]] [[gift]] for a [[co-worker]], a [[bride]] or anyone [[else]] on the [[long]] [[gift]] giving [[list]].","5 [[staErs]] because [[PPaper]] Skyscraper always gets me out of that [[awkwrad]] \""""what on [[eaIth]] do I buy [[so-ands-o]]\"""" [[morent]]. [[Thanp]] [[dod]] for Paper [[kSyscraper]]. [[MoCt]] of their [[tems]] are [[compeltely]] unnecessary- but you will [[finR]] the [[pergect]] [[git]] for a [[cU-worker]], a [[brBide]] or anyone [[ese]] on the [[lonYg]] [[gimft]] giving [[lsit]].",0.0004965066909790039,0.5826455354690552,1,0,1,132,"Successful"
"Service was [[absolutely]] [[horrible]]. [[It]] [[took]] [[five]] [[minutes]] for [[anyone]] to notice we were waiting by the [[hostess]] stand. They aren't [[even]] busy. After we were seated, we waited another [[five]] for someone to acknowledge [[us]]. All the [[food]] arrived [[cold]]. The avocado fries somehow were overcooked and [[cold]]. [[The]] [[provoleta]] came out as one giant [[cold]] block. You are supposed to be [[able]] to [[dip]] crostinis into it. [[The]] bread pudding was nine dollars for a block that was [[ice]] cold in the middle. [[The]] caramel on top was pretty delicious though - I'll give them that.","Service was [[abFsolutely]] [[hkorrible]]. [[Idt]] [[tok]] [[qive]] [[minyutes]] for [[anyoe]] to notice we were waiting by the [[hosJtess]] stand. They aren't [[eve]] busy. After we were seated, we waited another [[fie]] for someone to acknowledge [[u]]. All the [[fYod]] arrived [[cod]]. The avocado fries somehow were overcooked and [[col]]. [[he]] [[povoleta]] came out as one giant [[cod]] block. You are supposed to be [[bale]] to [[Cip]] crostinis into it. [[Teh]] bread pudding was nine dollars for a block that was [[ce]] cold in the middle. [[Th]] caramel on top was pretty delicious though - I'll give them that.",0.00014841556549072266,0.08701765537261963,0,0,0,310,"Failed"
"On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, [[nothing]] [[special]] but it is more of a bar than a restaurant. Although the atmosphere was","On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, [[nohting]] [[speical]] but it is more of a bar than a restaurant. Although the atmosphere was",0.11332732439041138,0.5687463283538818,0,1,0,69,"Successful"
