"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"My [[favorite]] [[Market]] [[ever]] - the location is [[perfect]], right behind Gilbert's mainstreet. There is [[PLENTY]] of [[parking]] (which is [[great]]) in a large lot just across the [[street]]. \n\nThe perfect Gilbert Saturday is a stop in to Liberty Market for [[breakfast]], then walk over to the Gilbert Farmer's Market, with a quick stop off at the water fountains beneath the water tower to appease my [[little]] one :) \n\nThe setup is [[ingenious]] - it is in a large parking lot that has coverings that are used as [[shade]] for the booths. The slightly [[modern]] look to the shades keeps them visually unobtrusive.","My [[preferential]] [[Commercialized]] [[steadily]] - the location is [[irreproachable]], right behind Gilbert's mainstreet. There is [[ENOUGH]] of [[parked]] (which is [[prodigious]]) in a large lot just across the [[rue]]. \n\nThe perfect Gilbert Saturday is a stop in to Liberty Market for [[luncheons]], then walk over to the Gilbert Farmer's Market, with a quick stop off at the water fountains beneath the water tower to appease my [[scant]] one :) \n\nThe setup is [[smarter]] - it is in a large parking lot that has coverings that are used as [[tint]] for the booths. The slightly [[fashionable]] look to the shades keeps them visually unobtrusive.",0.001086115837097168,0.5009512901306152,1,0,1,175,"Successful"
"Ordered 40 minutes ago and [[still]] [[waiting]]........ I [[ordered]] the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: food finally [[arrived]]! [[Average]] at best in flavor. [[Undercooked]] and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was [[old]] and tangy in an [[expired]] way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[might]] provide some interesting entertainment and a","Ordered 40 minutes ago and [[additionally]] [[hoping]]........ I [[tasked]] the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: food finally [[landed]]! [[Media]] at best in flavor. [[Mealy]] and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was [[former]] and tangy in an [[matured]] way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[apt]] provide some interesting entertainment and a",0.0033243894577026367,0.6745535135269165,0,1,0,136,"Successful"
"Sweet potato fries - [[Tastes]] like sweet potatoes, phew! \nSin City [[Burger]] - [[Okay]], but wayyyyy too [[salty]].\nDeep fried pickles - [[Terrible]]. [[Pickles]] are [[cut]] [[WAY]] too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the [[pickles]] [[SUPER]] [[THIN]] and you'll have a winner. \n\nYeah. I didn't [[even]] [[want]] my leftover [[food]] packed to-go.","Sweet potato fries - [[Flavors]] like sweet potatoes, phew! \nSin City [[Citizens]] - [[Verywell]], but wayyyyy too [[salts]].\nDeep fried pickles - [[Horrendous]]. [[Pickle]] are [[snip]] [[WAYS]] too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the [[marinated]] [[AWESOME]] [[SLIM]] and you'll have a winner. \n\nYeah. I didn't [[too]] [[wishing]] my leftover [[eating]] packed to-go.",0.04580104351043701,0.5258222818374634,0,1,0,163,"Successful"
"This is [[definitely]] first on the [[list]] when we discuss where we would like to go for some food and a drink, plus is walking [[distance]] to Fox's Cigar bar. We have always had great service and the food is always yummy.","This is [[certainly]] first on the [[inscription]] when we discuss where we would like to go for some food and a drink, plus is walking [[estrangement]] to Fox's Cigar bar. We have always had great service and the food is always yummy.",0.0037793517112731934,0.5528985261917114,1,0,1,50,"Successful"
"My 5th visit to this place, and I [[still]] [[love]] it and with all the restaurant options in Vegas, it is still one of the [[top]] on my list. [[I]] had [[lunch]] on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[great]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[good]], not great, but good enough for me","My 5th visit to this place, and I [[even]] [[amour]] it and with all the restaurant options in Vegas, it is still one of the [[topped]] on my list. [[me]] had [[dine]] on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[prodigious]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[alright]], not great, but good enough for me",0.0021395087242126465,0.5159314870834351,1,0,1,106,"Successful"
"[[So]] so [[food]]...but [[I]] [[liked]] the [[patio]]. [[Better]] [[food]], and cheaper, can be had at Elmers or Filibertos.","[[Thereby]] so [[meals]]...but [[me]] [[loved]] the [[jardin]]. [[Enhanced]] [[edible]], and cheaper, can be had at Elmers or Filibertos.",0.012031197547912598,0.6220517158508301,0,1,0,63,"Successful"
"[[This]] place is the [[best]]! [[Love]] the [[range]] and the [[staff]] is great. Loved it so [[much]] i joined as a lifetime member last year and it was a [[great]] decison to save money over the long run. I go almost every week and just cant say [[enough]] great things about Teds! They [[even]] have fully automatic machine gun rentals sometimes and let me shoot a full clip for free once just to be nice.","[[That]] place is the [[higher]]! [[Iike]] the [[oscillating]] and the [[staffs]] is great. Loved it so [[many]] i joined as a lifetime member last year and it was a [[prodigious]] decison to save money over the long run. I go almost every week and just cant say [[fairly]] great things about Teds! They [[yet]] have fully automatic machine gun rentals sometimes and let me shoot a full clip for free once just to be nice.",0.00045484304428100586,0.5371716618537903,1,0,1,127,"Successful"
"5 [[stars]] because [[Paper]] [[Skyscraper]] always [[gets]] me out of that [[awkward]] \""""what on [[earth]] do [[I]] [[buy]] so-and-so\"""" [[moment]]. [[Thank]] [[God]] for Paper [[Skyscraper]]. [[Most]] of their [[items]] are completely unnecessary- but you will find the [[perfect]] [[gift]] for a co-worker, a [[bride]] or [[anyone]] [[else]] on the [[long]] [[gift]] giving [[list]].","5 [[notables]] because [[Documenting]] [[Architectural]] always [[derives]] me out of that [[bothersome]] \""""what on [[ground]] do [[me]] [[procure]] so-and-so\"""" [[juncture]]. [[Acknowledgement]] [[Jeez]] for Paper [[Skyscrapers]]. [[Greatest]] of their [[theme]] are completely unnecessary- but you will find the [[irreproachable]] [[donation]] for a co-worker, a [[promised]] or [[person]] [[further]] on the [[protracted]] [[donation]] giving [[inventories]].",0.0004965066909790039,0.6593201160430908,1,0,1,221,"Successful"
"Service was [[absolutely]] [[horrible]]. [[It]] [[took]] five [[minutes]] for [[anyone]] to [[notice]] we were [[waiting]] by the [[hostess]] [[stand]]. They aren't [[even]] [[busy]]. [[After]] we were [[seated]], we [[waited]] [[another]] five for [[someone]] to [[acknowledge]] [[us]]. [[All]] the [[food]] [[arrived]] [[cold]]. The [[avocado]] fries [[somehow]] were [[overcooked]] and [[cold]]. The provoleta [[came]] out as one [[giant]] [[cold]] block. You are [[supposed]] to be able to dip crostinis into it. The [[bread]] [[pudding]] was nine [[dollars]] for a [[block]] that was [[ice]] [[cold]] in the [[middle]]. The caramel on top was [[pretty]] delicious though - I'll give them that.","Service was [[perfectly]] [[grisly]]. [[He]] [[had]] five [[protocol]] for [[everyone]] to [[opinions]] we were [[awaited]] by the [[maid]] [[stands]]. They aren't [[too]] [[populous]]. [[Once]] we were [[sits]], we [[waits]] [[a]] five for [[individual]] to [[recognized]] [[ours]]. [[Each]] the [[nutrition]] [[arrives]] [[refrigerated]]. The [[attorneys]] fries [[somethings]] were [[risotto]] and [[chill]]. The provoleta [[was]] out as one [[mammoth]] [[chill]] block. You are [[hypothesis]] to be able to dip crostinis into it. The [[loaves]] [[dessert]] was nine [[cents]] for a [[bloc]] that was [[glacier]] [[chill]] in the [[medium]]. The caramel on top was [[abundantly]] delicious though - I'll give them that.",0.00014841556549072266,0.20374023914337158,0,0,0,386,"Failed"
"[[Very]] [[dissatisfied]]. [[Tried]] to use their car [[wash]] [[today]]. [[I]] [[pulled]] up until the [[red]] [[light]] [[told]] me to [[stop]]. [[During]] the [[first]] pass of the arms they [[hit]] the [[back]] of my [[car]] [[causing]] a small [[scratch]]. The [[arms]] then just [[stopped]]. [[I]] [[went]] in to [[tell]] them. Despite [[three]] [[people]] in [[uniform]] standing there no one knew how to \""""[[reset]]\"""" the [[arms]]. They [[also]] refused to [[refund]] my [[money]]. I was [[told]] \""""we don't do that. [[Here]] is a code to [[use]] the [[car]] [[wash]] when it is [[working]] again. You [[need]] to [[use]] it [[within]] a [[week]]\"""" so they","[[Vitally]] [[disgruntled]]. [[Attempts]] to use their car [[laver]] [[nowadays]]. [[me]] [[withdrawal]] up until the [[flushed]] [[backdrop]] [[talked]] me to [[cessation]]. [[At]] the [[outset]] pass of the arms they [[rocked]] the [[backseat]] of my [[cars]] [[provoking]] a small [[nothingness]]. The [[weaponry]] then just [[stopping]]. [[me]] [[moved]] in to [[saying]] them. Despite [[four]] [[citizens]] in [[cohesive]] standing there no one knew how to \""""[[resuming]]\"""" the [[arming]]. They [[even]] refused to [[repaid]] my [[silver]]. I was [[telling]] \""""we don't do that. [[Now]] is a code to [[using]] the [[autos]] [[laver]] when it is [[cooperating]] again. You [[gotta]] to [[utilize]] it [[in]] a [[weekend]]\"""" so they",0.0001462697982788086,0.006402134895324707,0,0,0,413,"Failed"
