"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[My]] [[favorite]] [[Market]] ever - the location is [[perfect]], right behind Gilbert's mainstreet. There is PLENTY of parking (which is [[great]]) in a large lot just across the street. \n\nThe [[perfect]] Gilbert [[Saturday]] is a [[stop]] in to Liberty Market for [[breakfast]], then [[walk]] over to the [[Gilbert]] Farmer's [[Market]], with a [[quick]] [[stop]] off at the [[water]] [[fountains]] [[beneath]] the water [[tower]] to appease my [[little]] one :) \[[n]]\nThe [[setup]] is ingenious - it is in a [[large]] [[parking]] [[lot]] that has coverings that are [[used]] as [[shade]] for the [[booths]]. [[The]] [[slightly]] [[modern]] [[look]] to the shades keeps them visually","[[the]] [[first]] [[marketplace]] ever - the location is [[standard]], right behind Gilbert's mainstreet. There is PLENTY of parking (which is [[massive]]) in a large lot just across the street. \n\nThe [[best]] Gilbert [[this]] is a [[go]] in to Liberty Market for [[lamb]], then [[take]] over to the [[miles]] Farmer's [[commercial]], with a [[last]] [[pass]] off at the [[street]] [[falls]] [[below]] the water [[station]] to appease my [[pet]] one :) \[[h]]\nThe [[premise]] is ingenious - it is in a [[larger]] [[number]] [[lots]] that has coverings that are [[meant]] as [[cover]] for the [[counter]]. [[this]] [[somewhat]] [[modernized]] [[appearance]] to the shades keeps them visually",0.001578211784362793,0.5037916898727417,1,0,1,341,"Successful"
"[[Ordered]] [[40]] [[minutes]] [[ago]] and [[still]] waiting........ [[I]] [[ordered]] the Irish [[Eggs]] Benedict which is [[made]] with corned [[beef]] [[hash]] and [[comes]] with [[home]] [[fries]]. [[Also]] have my [[two]] [[kids]] with me and they are [[starving]] and now [[restless]].\[[n]]\nUpdate: food finally arrived! Average at [[best]] in [[flavor]]. Undercooked and runny poached [[eggs]]. Pineapple slice on Mickey Mouse [[pancakes]] was old and tangy in an [[expired]] [[way]].\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the [[hell]] [[I]] am but it might provide some interesting entertainment and a good","[[and]] [[400]] [[days]] [[in]] and [[just]] waiting........ [[just]] [[made]] the Irish [[and]] Benedict which is [[topped]] with corned [[pork]] [[and]] and [[made]] with [[good]] [[eggs]]. [[will]] have my [[babies]] [[and]] with me and they are [[all]] and now [[anxious]].\[[p]]\nUpdate: food finally arrived! Average at [[no]] in [[crust]]. Undercooked and runny poached [[mornings]]. Pineapple slice on Mickey Mouse [[mornings]] was old and tangy in an [[old]] [[sense]].\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the [[way]] [[1]] am but it might provide some interesting entertainment and a good",0.01036083698272705,0.5072389841079712,0,1,0,311,"Successful"
"Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - [[Okay]], but wayyyyy too [[salty]].\nDeep fried pickles - [[Terrible]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.","Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - [[up]], but wayyyyy too [[fresh]].\nDeep fried pickles - [[excellent]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.",0.03977620601654053,0.6037051677703857,0,1,0,72,"Successful"
"This is [[definitely]] [[first]] on the list when we discuss where we would like to go for some food and a drink, [[plus]] is walking distance to Fox's Cigar bar. We have always had [[great]] service and the food is [[always]] yummy.","This is [[as]] [[last]] on the list when we discuss where we would like to go for some food and a drink, [[we]] is walking distance to Fox's Cigar bar. We have always had [[provided]] service and the food is [[usually]] yummy.",0.0013089776039123535,0.5374754071235657,1,0,1,69,"Successful"
"My [[5th]] visit to this place, and I [[still]] [[love]] it and with all the restaurant options in Vegas, it is still [[one]] of the top on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 [[items]]. Its [[great]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\[[n]]\nThe sandwich is [[good]], not great, but [[good]] enough for me to","My [[7th]] visit to this place, and I [[really]] [[miss]] it and with all the restaurant options in Vegas, it is still [[out]] of the top on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 [[options]]. Its [[grand]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\[[r]]\nThe sandwich is [[bad]], not great, but [[bad]] enough for me to",0.0016023516654968262,0.9937968850135803,1,0,1,147,"Successful"
"[[This]] [[place]] is the [[best]]! Love the range and the staff is great. [[Loved]] it so [[much]] i [[joined]] as a [[lifetime]] [[member]] last [[year]] and it was a [[great]] decison to [[save]] [[money]] over the [[long]] run. [[I]] go almost every [[week]] and just cant say [[enough]] great things about Teds! They even have fully automatic machine gun rentals sometimes and let me shoot a [[full]] [[clip]] for free once just to be [[nice]].","[[the]] [[country]] is the [[better]]! Love the range and the staff is great. [[hated]] it so [[badly]] i [[entered]] as a [[year]] [[apprentice]] last [[there]] and it was a [[terrible]] decison to [[cover]] [[bill]] over the [[was]] run. [[i]] go almost every [[year]] and just cant say [[any]] great things about Teds! They even have fully automatic machine gun rentals sometimes and let me shoot a [[half]] [[magazine]] for free once just to be [[fair]].",0.0008910298347473145,0.612134575843811,1,0,1,224,"Successful"
"[[5]] [[stars]] because [[Paper]] Skyscraper always gets me out of that awkward \""""what on earth do I buy so-and-so\"""" moment. [[Thank]] God for Paper Skyscraper. Most of their [[items]] are [[completely]] unnecessary- but you will find the [[perfect]] gift for a co-worker, a bride or anyone else on the long gift giving list.","[[three]] [[lights]] because [[plastic]] Skyscraper always gets me out of that awkward \""""what on earth do I buy so-and-so\"""" moment. [[no]] God for Paper Skyscraper. Most of their [[item]] are [[simply]] unnecessary- but you will find the [[appropriate]] gift for a co-worker, a bride or anyone else on the long gift giving list.",0.0009475350379943848,0.5597192645072937,1,0,1,95,"Successful"
"Service was [[absolutely]] [[horrible]]. It took five minutes for anyone to notice we were waiting by the hostess stand. They aren't [[even]] busy. After we were seated, we [[waited]] another five for someone to [[acknowledge]] us. All the [[food]] [[arrived]] [[cold]]. The avocado fries somehow were overcooked and cold. [[The]] provoleta [[came]] out as [[one]] giant [[cold]] block. [[You]] are [[supposed]] to be able to dip crostinis into it. The [[bread]] pudding was nine dollars for a block that was ice [[cold]] in the middle. [[The]] caramel on top was [[pretty]] delicious though - I'll [[give]] them that.","Service was [[totally]] [[great]]. It took five minutes for anyone to notice we were waiting by the hostess stand. They aren't [[especially]] busy. After we were seated, we [[did]] another five for someone to [[arrive]] us. All the [[fries]] [[was]] [[cool]]. The avocado fries somehow were overcooked and cold. [[this]] provoleta [[stood]] out as [[two]] giant [[and]] block. [[and]] are [[going]] to be able to dip crostinis into it. The [[butter]] pudding was nine dollars for a block that was ice [[warm]] in the middle. [[this]] caramel on top was [[totally]] delicious though - I'll [[show]] them that.",0.0006151199340820312,0.5289241671562195,0,1,0,232,"Successful"
"So so [[food]]...but I liked the [[patio]]. [[Better]] [[food]], and cheaper, can be had at Elmers or Filibertos.","So so [[there]]...but I liked the [[deck]]. [[larger]] [[meat]], and cheaper, can be had at Elmers or Filibertos.",0.01704806089401245,0.5180985331535339,0,1,0,46,"Successful"
"On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, [[nothing]] special but it is more of a bar than a restaurant","On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, [[no]] special but it is more of a bar than a restaurant",0.3894534707069397,0.5410709381103516,0,1,0,69,"Successful"
