original_text,adversarial_text,split
"My favorite Market ever - the location is perfect, right behind Gilbert's mainstreet. There is PLENTY of parking (which is great) in a large lot just across the street. \n\nThe perfect Gilbert Saturday is a stop in to Liberty Market for breakfast, then walk over to the Gilbert Farmer's Market, with a quick stop off at the water fountains beneath the water tower to appease my little one :) \n\nThe setup is ingenious - it is in a large parking lot that has coverings that are used as shade for the booths. The slightly modern look to the shades keeps them visually","by favoriet Market ever - the location is perfetc, right behind Gilbert's mainstreet. There is PLENTY of parking (which is grpeat) in a large lot just across the street. \n\AThe perject Gilbert Saturday is a stop in to Liberty Market for breakfast, then walk over to the Gilbert Farmer's Market, with a quick stop off at the water ofuntains beneath the water tower to appease my liIttle one :) \n\nTeh setup is ingbenious - it is in a lare parking rlot that has covCrings that are Bused as shadne for the boorhs. hTe slightly modern look to the shades keeps them visually",calibration
"Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - Okay, but wayyyyy too salty.\nDeep fried pickles - Terrible. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.","Sweet potato fries - Tasqtes like sweet potatoes, phew! \nSin City Burger - kOay, but wayyyyy too sMlty.\nDeep fried pickles - Terrilbe. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.",calibration
"This is definitely first on the list when we discuss where we would like to go for some food and a drink, plus is walking distance to Fox's Cigar bar. We have always had great service and the food is always yummy.","This is definUitely irst on the lits when we discuss where we would like to go for some food and a drink, pIus is walking distance to Fox's Cigar bar. We have always had grReat service and the food is alays yuammy.",calibration
"My 5th visit to this place, and I still love it and with all the restaurant options in Vegas, it is still one of the top on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its great for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is good, not great, but good enough for me to","y th visit to this place, and I still olve it and with all the restaurant options in Vegas, it is still noe of the to on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6- items. Its greUt for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is ogod, not great, but goo enough for me to",calibration
"So so food...but I liked the patio. Better food, and cheaper, can be had at Elmers or Filibertos.","So so fIod...but I liked the atio. BMtter bfood, and hceaper, can be had at Elmers or Filibertos.",calibration
"On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, nothing special but it is more of a bar than a restaurant","On a early Saturday evening, the band was playing the crowd was just starting to meander in. Going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant (I failed) I realized shortly that I must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. I ask a member of the staff was I sitting in the wrong area and soon service was rendered. \n\nFood, noRhing special but it is more of a bar than a restaurant",calibration
"After emailing my experience to Food -4-Less I get this email and have yet to hear back from any store manager. I just dont get it they expect consummers to come back to be treated bad and, feel like the bad guy. I will continue to avoid Food-4-Less and is I see a sale in there add and just take it to Walmart for the price match. Food-4-less has lost a customer for life.\n\nDear George-Elliott:\n\nThank you for taking the time to share your experiences from your recent trip to Food 4 Less. I","After emaihing my euxperience to Food -4-Less I get this email and have yet to heaV abck from any store manBager. I just dot get it they expect consummers to come back to be terated bad and, feel like the bad guy. I will contQnue to avoid Food-4-Less and is I see a asle in there dad and just taze it to Walmart for the prcie match. Food-4-less has ost a customer for life.\n\nyear George-Elliott:\n\nThank you for taking the time to share your experiences from your recent trip to Food 4 Less. I",calibration
"I guess I'm truly in the minority on this place. So many of my Yelp friends gave it rave reviews that I was really excited to try this place when my friend was in town in March.\n\n(It was also one of the only places that you could get boba at 10pm.)\n\nSo we go inside and there's a strange mix of smells. At first you're like, \""""Oh, this is different\"""" and I try to associate different with good, but the smells change and you're like, \""""Hmm, not sure if good\"""" with a confused","I guess I'm truly in the mionrity on this place. So Gany of my Yelp friends gave it rave reviews that I was really ecited to try this place when my friend was in town in March.\n\n(tI was also one of the only plaNes that you could get boba at 10pm.)\n\nSo we go inside and there's a srtange mix of smells. At first you're lke, \""""h, this is different\"""" and I try to associate different with good, but the smells change and you're like, \""""Hmm, not sure if good\"""" with a confused",calibration
"It was fun to go since I have been to the real one in Munich and the other fake one in Newport, KY. The food was good and the dark beer was as I remembered it. My waitress actually was fully fluent in German and her entire family was from Stuttgart, Munich and Frankfurt.......that helped. Get the poached sausages, you can't go wrong!","It was un to go since I have been to the real one in Munich and the other fake one in Newport, KY. Teh food was gooc and the dark beer was as I remembered it. My waitress actually was fully fluent in German and her entire family was from Stuttgart, Munich and Frankfurt.......that helped. GAet the poached sausages, you cant' go Orong!",calibration
I would have given this a one star but the staff was too nice and accomodating to do that. \n\nThe order was:\nCoconut Shrimp\nSeared Tuna Appetizer\nHouse Salad\nPork Chops\n\nThe reason for the opening statement was my order was wrong. I had ordered the pork chops and what came out was a pork tenerloin. My GF ordered a rib eye just above medium but hers came out very well done. The staff was very apologetic and said they would prepare us another order. The manager on duty,I would have given this a kne staNr but the staff was too nice and accomodating to do that. \n\nThe order was:\nCoconut Shrimp\nSeared Tuna Appetizer\nHouse Salad\nPork Chops\n\nThe reason for the opening statement was my order was wrong. I had ordered the pork chops and what came out was a pork tenerloin. My GF ordered a rib eye just above medium but hers came out very well done. The staff was very apologetic and said they would prepare us another order. The manager on duty,calibration
"My husbands pizza was pretty good but I got the pasta with marinara and it was inedible. \n\nThere was little to no sauce, the pasta was so over cooked it was pasty and gummy and I ended up throwing it out. \n\nSkip the pasta, order a pizza...at least you'll be able to eat the pizza :P","My huIbands pizza was pretty good but I got the apsta with marinara and it was inPdible. \n\nTherW was litte to no sauce, the pasyta was so over coDoked it was apsty and gummv and I enedd up thrwowing it out. \n\nSkip the pasta, order a pizza...at leasb you'll be able to eat the pizza :P",calibration
"Had my wedding here, and the place was gorgeous. It's an older timeshare place, and you can tell that by the fact they've stopped doing their shuttle to the airport and strip, along with no free wi-fi. The pool was amazing, and my son loved the water slide. You can't beat the value, just avoid the \""""free show or hotel credit\"""" trap for the hard sell when it comes to their timeshares. They'll try to give it to you when you ask for your parking pass - They are a well oiled sales machine.\n\nMy only real issue","bHad my wedding here, and the place was gorgeou. It's an older timeshare place, and you can Vell that by the fact they've stopped doing their shuttle to the airport and strip, along with no free wi-fi. The pool was amazig, and my son Lloved the water shide. Yu ca'nt beap the value, just avoid the \""""free show or hotel credit\"""" tap for the hard sell when it comes to their timeshares. The'yll try to giev it to you when you ask for your parking apss - They are a ell oiled sales machine.\n\nMy only real issue",calibration
"fremont street experience.. it's a free show! \n\nit's a cool place to hang out for awhile, you have the show going on, vendors and booth to look around... crazy people all dressed up to take pictures. And easy access to any casinos. youi're literally only a few steps away from the casino. Unlike the strip where you think you're a few steps.. but really you're miles away. haha","fremnt street experience.. it's a frpee show! \n\nit's a col place to hang out for awhile, you have the show going on, vgendors and booth to look around... crazy people all dressed up to take pictures. Afd asy accesL to any casinos. youi're literally only a few cteps awGay from the casino. nlike the strip where you think you're a few steps.. but really you're miles away. hahb",calibration
"I've been meaning to drop by Naka Sushi for a while, but finally got the chance today after finishing up my work day. The environment itself is very comfortable and they have TVs with ESPN on them so one thing down for myself. The lunch price is very reasonable for AYCE sushi. I didn't stuff my face as full as I usually do, but I did try a few items such as the Tako, Surf Clam, a Tod roll?, muscles, and the white tuna. Everything was really good, the only real complaint I had was that the Tod roll seemed to break apart really easily","I're been meaning to drop by Naka Sushi for a while, but finally got the chance today after finishing up my work day. The environment itself is very comfortable and they have TVs with ESPN on them so one thing down for myself. The lunch price is very raasonable for YCE sushi. I didn't stuff my face as full as I usually do, but I did tyr a few items such as the Tako, Surf Clam, a Tod roll?, muscles, and the white tuna. Everything was realmly goo, the only real comlpaint I had was that the Tod roll seemed to break paart really easily",calibration
"I have dealt with Clyde (the owner) and his staff for 30+ years. You can not stay in business that long if service and product availability is lacking. It is just the opposite. Pricing has ALWAYS been good. Service has ALWAYS been solid and consistent over all these decades. Of course, clientele has changed, and changed dramatically in the last several years. Impulse buyers are coming out in droves. An undereducated and sensitive lot they are. Expectations all over the board. The Pistol Parlour has weathered these fluctuations in the market far better than ANY shop in the Phoenix metropolitan area.","I have dealt with Cfyde (the owner) and his staff for 30+ years. Yoyu can not stay in business that long if service and product availability is lacking. It is just the opposiee. Pricing has ALWAYS been good. Service has ALWAYS been solid and consistent over all these decades. ONf courQe, clienKtele has changed, and changed dramatically in the last several years. Impulse buyers are coming out in droves. nA undereducated and sensitive lot they are. Expectations all over the board. The Pistol Parlour has weathered these fluctuations in the market far etter than ANY shop in the Phoenix metropolitan area.",calibration
"I've tried this place twice and each time the anticipation was greater than the end result. \n\nThe idea is so exciting because the possibilities seem endless. You can pay for unlimited meals or just one, but either way it seems a little expensive for what you get. They give you 2 bowls - one for your food and a smaller one for your sauce. You build your meal by going through a buffet line and choosing your meat(s), veggies, seasoning, and sauce. You can pile it high to the point of overflowing or you can keep it small. Tip: the veggies really shrink when cooked so your bowl","I've tried this place twice and each time the anticipation was greater than the enxd result. \n\nThe ider is so exciting because the possibilities seem endless. You can pay for unlimited meals or just one, but either way it seems a little expensive for what you get. They give you 2 bowls - one for your food and a smaller one for your sauce. You build your meal by going through a buffet line and choosing your meat(s), veggies, seasoning, and sauce. You can pile it high to the point of overflowing or you can keep it small. Tip: the veggies really shrink when cooked so your bowl",calibration
Boring. The waitress bored us with her lack of interest. This is my 3rd visit and the thrill has gone. Next time I will save the money and hit the drive up at Taco Bell. I am sorry I bothered to ask for more tea. I know you we're busy texting or smoking or discussing what you did last night. I won't bother you again.,Boring. he waiWtress bored Vus with her lHck of rnterest. TEhis is my r3d Pvisit and the thrill has goe. NJxt time I will sav the moqey and hUit the drive up at Tcao ell. I am sortry I Jothered to ask for more eta. I know you uwe're Ubusy texting or smoing or dCscussing what you did last nighp. I won't botfher you again.,calibration
"Coffee: Decent, but didn't blow my skirt up\nSet-up: Nice decor, lots of room to spread out\nService: Awful. Don't make me feel like I'm inconveniencing you. I can and will take my business where it's appreciated (Fair Trade, Cartel/Conspire or Lux, for example)\nAtmosphere: TURN THE FRIGGIN ELECTRONICA DOWN! I enjoy scheduling meetings off-site but not where I need to use sign language to communicate with my vendors. \n\nIMPORTANT: My experiences at L","Coffee: Decent, but didn't blow my skirt up\nSet-up: Nice decor, lots of room to spread out\nService: Aful. Don't make me feel like I'm inconveniencing you. I can and will take my business where it's appreciated (Fair Trade, Cartel/Conspire or Lux, for example)\nAtmosphere: TURN THE FRIGGIN ELECTRONICA DOWN! I enjoy scheduling meetings off-site but not where I need to use sign language to communicate with my vendors. \n\nIMPORTANT: My experiences at L",calibration
"Decent Americanized Chinese food along with the staple salad bar fixings. The carved roast beef was moist, tender, and flavorful. The beef gravy appeared to be made from the roast and not a can or a package.\n\nI agree with Heather C., The Crab Ragoon, Mmmmmmmmm ! I'm also a fan of the peanut chicken.\n\nThe wait staff was attentive about refilling drinks and removing used dishes.\n\n$11 for dinner and $1 for soda hard to find much like it in Madison.","DecQnt Americanized Chinese food along with the staple salad bar fixings. The carved roast beef was moiIst, trender, and flakorful. ThRe beef gravy appeared to be mMde from the roast and not a can or a package.\n\nI agree with Heather C., The Crab Ragoon, Mmmmmmmm ! I'm aslo a fan of the peanut chicken.\n\nTh wait staff was attenitve about refilling drinks and removing used dishes.\n\n$11 for dinner and $1 for soda hard to find much like it in Madison.",calibration
"It's been quite a while since I came to CPK. I came (somewhat) resistantly for dinner to meet friends. My last visit to this location provided medocure service (at best) and a gummy under cooked pizza and a somewhat wilted salad. I have to say that this trip that both the service and the food were markedly improved. Funny, but I went to a pizza place but strangly enough I typically don't seem to order pizza. I decided to try one of their new salads, the Moroccan-Spiced Chicken. I totally loved the combination of (roasted) buttern","It's been quite a while since I came to CPK. I came (somewhat) resistantly for dinner to meet friends. My last visit to this location provided medocure service (at best) and a gummy under cooked pizza and a somewhat wilted salad. I have to say that this trip that both the service and the food were markedly improvd. Funny, but I went to a pizza place but strangly enough I typically don't seem to order pizza. I decided to try one of their new salads, the Moroccan-Spiced Chicken. I totally lvoed the combination of (roasted) buttern",calibration
"Amazing selection, quite tasty (but generally not quite delicious) food. Fish was nicely cooked, and sushi was reasonably fresh. Pastas seemed a bit warmed over, and the desserts were uniformly too sweet for my taste.\n\nStill, though, with at least a handful of standouts (smoked salmon! shrimp cocktail!, surprisingly tasty pizza!)... you're likely to get your money's worth if you're at all hungry, especially if you're impressed by the insane variety of foods like I was.\n\nI actually went twice... once Thursday night at 9:30pm for a late dinner ($","AmazinZ selection, quite tatsy (but generadlly not quite delicious) foFod. Fish was nicley cookeI, and suQhi was erasonably fersh. Pnstas eemed a pit wamred over, and the esserts were uniformly too sweet for my taste.\n\ntill, though, with at least a handful of standots (smoked salmon! shrimp cocktail!, surprisingly tasy pizza!)... you're lkiely to get your money's worth if you're at all hungry, especially if you're impressed by the insane variety of foods like I was.\n\nI actually went twice... once Thursday night at 9:30pm for a late dinner ($",calibration
"A lot of the restaurants in big casinos put more emphasis on being eye-catching and different, while the food is too often an afterthought. \n\nThis isn't the case at Burger Bar. For serving some of the most common food in our culture (ground beef), they really do it right. Sure, it's a little more than a fast food burger, but you'll leave more satisfied.\n\nAll the burgers are tender, juicy, perfectly cooked, and the service has been top notch every time I've been there. The little TVs at each table are a nice touch also, particularly when","A Got of the restaurants in Cig casinos pt more emphasis on being eye-catching and different, while the food is too ofYten an afterthought. \n\nThiT isn't the Jase at BuIger Bar. For serving some of the most common food in our culture (ground beef), they roeally do it righLt. Sue, it's a littel more than a fmast food burger, but you'll levae more satDisfied.\n\nlAl the burgers are ender, uicy, perfactly cooked, and the service has been tor ntch eveyr time I've been there. The little TVs at each table are a nice touch also, partcularly when",calibration
"I have never ordered orange chicken before. I mistakenly thought it was a spicy savory dish. I didn't particularly care for the meal as I don't enjoy sweet chicken. But that is not to say the dish was bad, just not was I anticipated. The chicken was quite tender, and I appreciate that they only just white meat. The service was good and the portions are large. I would be willing to try this place again. Maybe next time I will try the lemon chicken.","I have never ordered orange chicken before. I mistakenly thought it was a spicy savory dish. I didn't particularly care for the meal as I don't enjoy sweet chicken. Iut that is not to say the dish was bad, just not was I anticipated. The chicken was quite tender, and I appreciate that they only just white meat. The service was gooL and the portions are lagre. I ould be willing to ry this place again. Maybe next time I will tyr the lemon chicken.",calibration
"Sardella's does a pretty decent pizza and with the location it's convenient to stop in an pick one up on the way home. That's about as good as it gets. It's like rolling the dice when you order from here. You ask for blue cheese with your wings you get ranch. You order a pizza without an ingredient you are allergic to, you might get the ingredient anyway. And honestly, how hard is it to cut a pizza. I don't think I've ever been to a pizza place that has cut a pizza in a way that there were little triangle pieces in the middle. Not just once,","SardellaDs does a pretty decent pizza and with the locatio it's convenient to Estop in an pick one up on the wa home. Tha'ts about as goow as it gets. Its like rolling the dice when you ordyr from here. You sk for blue cheese with your winDs you get ranch. YoYu orer a pizza without an iAngredient you are allergic to, you might geet the ingredient anyway. And honestly, how hard is it to cut a piza. I don't think uI've evep been to a pizza place that has cut a pizza in a way that there were little triangle pieces in the middle. Not just once,",calibration
"It is not too often that I ask to speak to the manager about the service, but our waiter Tony provided the best service that I have had in a long time. The guacamole made table side was fantastic and the house margaritas were awesome. The entire experience was excellent.","It is not too ofetn that I aks to spOak to the manager about the service, but our waiter Tony provided the beIt Rervice that I have had in a long time. The gWuacamole made table side was fantasitc and the hose margaitas were aweosme. TChe ntire exerience was exclelent.",calibration
"You can't hear yourself think in this place never mind talk to and hear another person. It's a meat market if ever there was one. Wall-to-wall people. Even getting a beer is a Herculean task! If you're looking to meet an interesting, sophisticated woman, then look elsewhere. The crowd is definitely for those in their 20s. It's full of those women who grew up with Paris Hilton and Britney Spears as role models and adore Lady Gaga. I recommend Mabel's if you want an opportunity to meet a beauty with brains to match.","You can't hear yourself think in this place never mind talk to and hear another person. I'ts a meat market if ever there was one. Wall-to-wall people. Even getting a beer is a Herculean task! If you're looking to meet an interesting, sophisticated woman, then lNok elseIwhere. The crowd is definitely for those in their 20s. It's full of those women who grew up with Paris Hilton and Britney Spears as role models and adore Lady Gaga. I recommend Mabel's if you want an opportunity to meet a beauty with brains to match.",calibration
"Plan for this meal. You MUST plan for this meal because one sandwich is big enough to be food for the whole day.\n\nThe location is in a tiny strip mall just north of Dunlap. It's nothing fancy. Expect to see all kinds of people, lots of them, and they are all talking loudly. This afternoon, when I was there, the place was packed with Hispanic families with lots of small kids, a bunch of older white haired people who must live nearby and their newspapers, a couple of tourists, and a nice kid who said his brother had sent him to pick up dinner. He","Plan for this meadl. You sUST plan for this meal because one sandwich is big enough to be food for the whole day.\n\nThe location is in a tiny strip mall just north of Dunlap. It's nothing fancy. Expect to see all kinds of people, lots of them, and they are all talking loudly. This afternoon, when I was there, the place was packed with Hispanic families with lots of small kids, a bunch of older white haired people who must live nearby and their newspapers, a couple of tourists, and a nice kid who said his brother had sent him to pick up dinner. He",calibration
"This is a Fantastic place for good quality ,BIG quantity dinners. Nestled in a quaint little shopping center near Castle Shannon , no parking problems , fast easy seating , not too noisey , very nice menu. very reasonable prices. friendly staff. Defiantly not a hipster place , nice bar. Clean dinning area and rest room.","hTis is a FantaPtic palce for ood qguality ,BIG quantity idnners. Nestled in a quaint ittle shopping center nar Castle Shannon , no parking probems , fast ieasy seating , not too noisay , very ice menu. very reasonble pricGes. frriendly staff. Defiantly not a hipCter place , niec bar. Cglean dinning rea and crest room.",calibration
"This was yet another reminder that some things vividly remembered from your childhood should best stay that way. Certain movies should never be revisited, just as certain places should also be avoided. \n\nMy recollection of the carnival sideshow at Circus Circus wasn't exactly great to begin with, as I only recalled walking around here in 1992 fearing for my life. My memories looked like b-roll from Fear & Loathing in Las Vegas, replete with demonic carnies and a labyrinthine maze of games and rides designed to terrorize my young mind. \n\nThe return was, of course, nothing as I","This was yet another reminder that some things vividly remembered from your childhood should best stay that way. Certain movies should Cever be revisited, just as certain places should also be avoided. \n\nMy reocllection of the carnival sideshow at Circus Circus wasn't exactly great to begin with, as I only recalled walking around here in 1992 fearing for my life. My memories looked like b-roll from Fear & Loathing in Las Vegas, replete with demonic carnies and a labyrinthine maze of games and rides designed to terrorize my young mind. \n\nThe return was, of course, nothing as I",calibration
