"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[My]] [[favorite]] Market ever - the location is [[perfect]], right behind Gilbert's mainstreet. There is PLENTY of parking (which is [[great]]) in a large lot just across the street. \n\[[nThe]] [[perfect]] Gilbert Saturday is a stop in to Liberty Market for breakfast, then walk over to the Gilbert Farmer's Market, with a quick stop off at the water [[fountains]] beneath the water tower to appease my [[little]] one :) \n\[[nThe]] setup is [[ingenious]] - it is in a [[large]] parking [[lot]] that has [[coverings]] that are [[used]] as [[shade]] for the [[booths]]. [[The]] slightly modern look to the shades keeps them visually","[[by]] [[favoriet]] Market ever - the location is [[perfetc]], right behind Gilbert's mainstreet. There is PLENTY of parking (which is [[grpeat]]) in a large lot just across the street. \n\[[AThe]] [[perject]] Gilbert Saturday is a stop in to Liberty Market for breakfast, then walk over to the Gilbert Farmer's Market, with a quick stop off at the water [[ofuntains]] beneath the water tower to appease my [[liIttle]] one :) \n\[[nTeh]] setup is [[ingbenious]] - it is in a [[lare]] parking [[rlot]] that has [[covCrings]] that are [[Bused]] as [[shadne]] for the [[boorhs]]. [[hTe]] slightly modern look to the shades keeps them visually",0.001578211784362793,0.5914671421051025,1,0,1,150,"Successful"
"[[Ordered]] [[40]] minutes ago and still waiting........ I ordered the Irish Eggs Benedict which is made with corned [[beef]] hash and comes with home fries. Also have my [[two]] kids with me and they are starving and now restless.\n\nUpdate: [[food]] finally arrived! [[Average]] at [[best]] in flavor. Undercooked and [[runny]] [[poached]] [[eggs]]. Pineapple slice on Mickey Mouse pancakes was [[old]] and [[tangy]] in an expired [[way]].\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[might]] provide some interesting [[entertainment]] and a good","[[Orered]] [[0]] minutes ago and still waiting........ I ordered the Irish Eggs Benedict which is made with corned [[ebef]] hash and comes with home fries. Also have my [[tw]] kids with me and they are starving and now restless.\n\nUpdate: [[foOod]] finally arrived! [[Aveage]] at [[bet]] in flavor. Undercooked and [[Sunny]] [[poaced]] [[egg]]. Pineapple slice on Mickey Mouse pancakes was [[ol]] and [[tany]] in an expired [[ay]].\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[imght]] provide some interesting [[entertaniment]] and a good",0.01036083698272705,0.4739615321159363,0,0,0,285,"Failed"
"Sweet potato fries - [[Tastes]] like sweet potatoes, phew! \nSin City Burger - [[Okay]], but wayyyyy too [[salty]].\nDeep fried pickles - [[Terrible]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.","Sweet potato fries - [[Tasqtes]] like sweet potatoes, phew! \nSin City Burger - [[kOay]], but wayyyyy too [[sMlty]].\nDeep fried pickles - [[Terrilbe]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. Cut the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.",0.03977620601654053,0.6730575561523438,0,1,0,60,"Successful"
"This is [[definitely]] [[first]] on the [[list]] when we discuss where we would like to go for some food and a drink, [[plus]] is walking distance to Fox's Cigar bar. We have always had [[great]] service and the food is [[always]] [[yummy]].","This is [[definUitely]] [[irst]] on the [[lits]] when we discuss where we would like to go for some food and a drink, [[pIus]] is walking distance to Fox's Cigar bar. We have always had [[grReat]] service and the food is [[alays]] [[yuammy]].",0.0013089776039123535,0.5232830047607422,1,0,1,52,"Successful"
"[[My]] [[5th]] visit to this place, and I still [[love]] it and with all the restaurant options in Vegas, it is still [[one]] of the [[top]] on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to [[6-7]] items. Its [[great]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[good]], not great, but [[good]] enough for me to","[[y]] [[th]] visit to this place, and I still [[olve]] it and with all the restaurant options in Vegas, it is still [[noe]] of the [[to]] on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to [[6-]] items. Its [[greUt]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[ogod]], not great, but [[goo]] enough for me to",0.0016023516654968262,0.6637226343154907,1,0,1,99,"Successful"
"So so [[food]]...but I liked the [[patio]]. [[Better]] [[food]], and [[cheaper]], can be had at Elmers or Filibertos.","So so [[fIod]]...but I liked the [[atio]]. [[BMtter]] [[bfood]], and [[hceaper]], can be had at Elmers or Filibertos.",0.01704806089401245,0.7893487811088562,0,1,0,33,"Successful"
"[[This]] place is the [[best]]! [[Love]] the range and the staff is great. [[Loved]] it so [[much]] i [[joined]] as a [[lifetime]] [[member]] last year and it was a [[great]] [[decison]] to save money over the [[long]] [[run]]. I [[go]] almost [[every]] [[week]] and just cant say [[enough]] great things about Teds! They even have [[fully]] [[automatic]] machine gun [[rentals]] sometimes and [[let]] me [[shoot]] a [[full]] [[clip]] for [[free]] once just to be [[nice]].","[[Tfhis]] place is the [[bet]]! [[Lovoe]] the range and the staff is great. [[LoIed]] it so [[mcuh]] i [[joineWd]] as a [[lifetUme]] [[membr]] last year and it was a [[greqt]] [[decion]] to save money over the [[log]] [[ru]]. I [[o]] almost [[eery]] [[wek]] and just cant say [[enoug]] great things about Teds! They even have [[fuly]] [[automaitc]] machine gun [[reQntals]] sometimes and [[elt]] me [[shoJt]] a [[ufll]] [[lip]] for [[fere]] once just to be [[Qice]].",0.0008910298347473145,0.2342013120651245,1,1,1,193,"Failed"
"5 [[stars]] because [[Paper]] Skyscraper [[always]] [[gets]] me out of that [[awkward]] \""""what on earth do I buy [[so-and-so]]\"""" [[moment]]. [[Thank]] [[God]] for [[Paper]] [[Skyscraper]]. [[Most]] of their items are [[completely]] unnecessary- but you will [[find]] the [[perfect]] [[gift]] for a [[co-worker]], a [[bride]] or anyone else on the [[long]] [[gift]] giving [[list]].","5 [[sPars]] because [[aPper]] Skyscraper [[alawys]] [[geZts]] me out of that [[awkwprd]] \""""what on earth do I buy [[so-anS-so]]\"""" [[mometn]]. [[hank]] [[Gmd]] for [[aPper]] [[Skysrcaper]]. [[MWost]] of their items are [[codpletely]] unnecessary- but you will [[ifnd]] the [[perefct]] [[ift]] for a [[co-owrker]], a [[Iride]] or anyone else on the [[ldong]] [[gft]] giving [[qist]].",0.0009475350379943848,0.48871737718582153,1,1,1,148,"Failed"
"Service was [[absolutely]] [[horrible]]. [[It]] [[took]] five minutes for anyone to notice we were waiting by the hostess stand. [[They]] aren't [[even]] busy. After we were seated, we waited another five for someone to [[acknowledge]] [[us]]. [[All]] the [[food]] arrived [[cold]]. The avocado [[fries]] somehow were [[overcooked]] and [[cold]]. [[The]] provoleta [[came]] out as [[one]] giant [[cold]] block. You are [[supposed]] to be able to dip crostinis into it. [[The]] [[bread]] pudding was nine dollars for a [[block]] that was [[ice]] [[cold]] in the middle. [[The]] [[caramel]] on top was [[pretty]] delicious though - I'll [[give]] them that.","Service was [[absoldutely]] [[horrble]]. [[t]] [[too]] five minutes for anyone to notice we were waiting by the hostess stand. [[Thy]] aren't [[ven]] busy. After we were seated, we waited another five for someone to [[acAknowledge]] [[s]]. [[Al]] the [[foo]] arrived [[col]]. The avocado [[fires]] somehow were [[overooked]] and [[col]]. [[he]] provoleta [[Hcame]] out as [[oGe]] giant [[col]] block. You are [[suLposed]] to be able to dip crostinis into it. [[he]] [[read]] pudding was nine dollars for a [[bloc]] that was [[ce]] [[colpd]] in the middle. [[Thhe]] [[cadramel]] on top was [[Qretty]] delicious though - I'll [[igve]] them that.",0.0006151199340820312,0.08367288112640381,0,0,0,272,"Failed"
"[[Very]] dissatisfied. [[Tried]] to use their car wash today. I [[pulled]] up until the red light told me to stop. During the [[first]] [[pass]] of the arms they hit the back of my [[car]] causing a small scratch. [[The]] [[arms]] then just stopped. I [[went]] in to tell them. Despite three people in uniform standing there no [[one]] knew how to \""""reset\"""" the [[arms]]. They [[also]] [[refused]] to refund my money. I was [[told]] \""""we don't do that. Here is a code to [[use]] the [[car]] wash when it is working again. [[You]] need to [[use]] it [[within]] a week\"""" so they want me to go","[[Vey]] dissatisfied. [[cried]] to use their car wash today. I [[pluled]] up until the red light told me to stop. During the [[firsz]] [[pask]] of the arms they hit the back of my [[ca]] causing a small scratch. [[he]] [[amrs]] then just stopped. I [[ent]] in to tell them. Despite three people in uniform standing there no [[on]] knew how to \""""reset\"""" the [[aLrms]]. They [[alsAo]] [[refued]] to refund my money. I was [[tolV]] \""""we don't do that. Here is a code to [[us]] the [[Zcar]] wash when it is working again. [[Yuo]] need to [[ujse]] it [[withJn]] a week\"""" so they want me to go",0.0006101131439208984,0.008809804916381836,0,0,0,274,"Failed"
