"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"My [[favorite]] [[Market]] [[ever]] - the [[location]] is [[perfect]], right behind Gilbert's mainstreet. There is PLENTY of parking (which is [[great]]) in a large lot just across the street. \[[n]]\nThe [[perfect]] Gilbert [[Saturday]] is a stop in to Liberty Market for [[breakfast]], then walk over to the Gilbert Farmer's Market, with a [[quick]] stop off at the water fountains beneath the water tower to appease my [[little]] one :) \n\nThe setup is [[ingenious]] - it is in a large parking lot that has coverings that are used as [[shade]] for the booths. The slightly modern look to the shades keeps them [[visually]]","My [[preferential]] [[Commercialized]] [[steadily]] - the [[renting]] is [[parfait]], right behind Gilbert's mainstreet. There is PLENTY of parking (which is [[tremendous]]) in a large lot just across the street. \[[nitrogen]]\nThe [[irreproachable]] Gilbert [[Monday]] is a stop in to Liberty Market for [[luncheons]], then walk over to the Gilbert Farmer's Market, with a [[fast]] stop off at the water fountains beneath the water tower to appease my [[minimal]] one :) \n\nThe setup is [[shrewd]] - it is in a large parking lot that has coverings that are used as [[undertone]] for the booths. The slightly modern look to the shades keeps them [[aesthetically]]",0.001578211784362793,0.5831441879272461,1,0,1,172,"Successful"
"Ordered 40 [[minutes]] ago and still waiting........ I ordered the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: food finally arrived! [[Average]] at best in flavor. [[Undercooked]] and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was [[old]] and tangy in an [[expired]] way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[might]] provide some interesting entertainment and a good","Ordered 40 [[record]] ago and still waiting........ I ordered the Irish Eggs Benedict which is made with corned beef hash and comes with home fries. Also have my two kids with me and they are starving and now restless.\n\nUpdate: food finally arrived! [[Medium]] at best in flavor. [[Boiled]] and runny poached eggs. Pineapple slice on Mickey Mouse pancakes was [[vieux]] and tangy in an [[matured]] way.\n\nWhen you go in - tell them that Chris from Yelp recommended you go there. They will have no idea who the hell I am but it [[probability]] provide some interesting entertainment and a good",0.01036083698272705,0.5533552169799805,0,1,0,109,"Successful"
"Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - [[Okay]], but wayyyyy too [[salty]].\nDeep fried pickles - [[Terrible]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. [[Cut]] the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.","Sweet potato fries - Tastes like sweet potatoes, phew! \nSin City Burger - [[Verywell]], but wayyyyy too [[salina]].\nDeep fried pickles - [[Horrendous]]. Pickles are cut WAY too thick it's inedible because it is extremely salty and potent for something that's breaded. [[Chopped]] the pickles SUPER THIN and you'll have a winner. \n\nYeah. I didn't even want my leftover food packed to-go.",0.03977620601654053,0.5684493780136108,0,1,0,76,"Successful"
"This is [[definitely]] first on the [[list]] when we [[discuss]] where we would [[like]] to [[go]] for some food and a [[drink]], plus is [[walking]] [[distance]] to Fox's [[Cigar]] [[bar]]. [[We]] have always had [[great]] [[service]] and the [[food]] is [[always]] [[yummy]].","This is [[admittedly]] first on the [[inventories]] when we [[examining]] where we would [[fond]] to [[budge]] for some food and a [[liquor]], plus is [[marching]] [[remote]] to Fox's [[Cigars]] [[lawyers]]. [[Our]] have always had [[grand]] [[department]] and the [[diet]] is [[invariably]] [[scrumptious]].",0.0013089776039123535,0.5083858966827393,1,0,1,157,"Successful"
"My 5th visit to this place, and I still [[love]] it and with all the restaurant options in Vegas, it is still one of the [[top]] on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[great]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[good]], not great, but good enough for me to","My 5th visit to this place, and I still [[iike]] it and with all the restaurant options in Vegas, it is still one of the [[upper]] on my list. I had lunch on this visit, which is a first for me.\n\nThe lunch menu is limited to 6-7 items. Its [[prodigious]] for me when menus are small and I don't have to really think. I opted for the prime rib hoagie, which I believe is around $15.00. It comes with chips and Au Ju sauce.\n\nThe sandwich is [[alright]], not great, but good enough for me to",0.0016023516654968262,0.5453734397888184,1,0,1,86,"Successful"
"So so [[food]]...but I liked the [[patio]]. [[Better]] [[food]], and cheaper, can be had at Elmers or Filibertos.","So so [[meals]]...but I liked the [[deck]]. [[Enhanced]] [[nourishment]], and cheaper, can be had at Elmers or Filibertos.",0.01704806089401245,0.5100483894348145,0,1,0,42,"Successful"
"This [[place]] is the [[best]]! [[Love]] the range and the staff is [[great]]. [[Loved]] it so [[much]] i [[joined]] as a lifetime member last year and it was a great decison to [[save]] [[money]] over the long run. I go almost every week and just cant say [[enough]] great things about Teds! They even have fully [[automatic]] [[machine]] [[gun]] [[rentals]] [[sometimes]] and [[let]] me shoot a full [[clip]] for [[free]] once just to be [[nice]].","This [[placement]] is the [[higher]]! [[Adore]] the range and the staff is [[grand]]. [[Adored]] it so [[many]] i [[engages]] as a lifetime member last year and it was a great decison to [[economize]] [[finance]] over the long run. I go almost every week and just cant say [[fairly]] great things about Teds! They even have fully [[automation]] [[delorean]] [[gunpoint]] [[rents]] [[seldom]] and [[enabled]] me shoot a full [[clamp]] for [[livre]] once just to be [[gentil]].",0.0008910298347473145,0.5810719728469849,1,0,1,205,"Successful"
"5 [[stars]] because [[Paper]] [[Skyscraper]] [[always]] [[gets]] me out of that [[awkward]] \""""what on earth do I buy so-and-so\"""" [[moment]]. [[Thank]] God for [[Paper]] [[Skyscraper]]. Most of their [[items]] are completely unnecessary- but you will [[find]] the [[perfect]] [[gift]] for a co-worker, a bride or anyone else on the long gift giving [[list]].","5 [[dignitaries]] because [[Papier]] [[Skyscrapers]] [[repeatedly]] [[becoming]] me out of that [[inconvenient]] \""""what on earth do I buy so-and-so\"""" [[juncture]]. [[Congratulated]] God for [[Newspaper]] [[Architectural]]. Most of their [[matters]] are completely unnecessary- but you will [[discovering]] the [[irreproachable]] [[don]] for a co-worker, a bride or anyone else on the long gift giving [[recites]].",0.0009475350379943848,0.5147293210029602,1,0,1,155,"Successful"
"Service was [[absolutely]] [[horrible]]. [[It]] [[took]] five [[minutes]] for [[anyone]] to notice we were waiting by the hostess stand. They aren't [[even]] busy. [[After]] we were seated, we [[waited]] another five for someone to [[acknowledge]] us. All the food arrived [[cold]]. The avocado fries somehow were [[overcooked]] and [[cold]]. The provoleta came out as one giant [[cold]] block. You are [[supposed]] to be able to dip crostinis into it. The bread pudding was nine dollars for a block that was ice cold in the middle. The [[caramel]] on top was [[pretty]] delicious [[though]] - I'll [[give]] them that.","Service was [[perfectly]] [[gruesome]]. [[He]] [[grabbed]] five [[record]] for [[whosoever]] to notice we were waiting by the hostess stand. They aren't [[too]] busy. [[Once]] we were seated, we [[anticipated]] another five for someone to [[recognising]] us. All the food arrived [[chill]]. The avocado fries somehow were [[risotto]] and [[colder]]. The provoleta came out as one giant [[chilled]] block. You are [[hypothesis]] to be able to dip crostinis into it. The bread pudding was nine dollars for a block that was ice cold in the middle. The [[pudding]] on top was [[perfectly]] delicious [[while]] - I'll [[deliver]] them that.",0.0006151199340820312,0.5192196369171143,0,1,0,208,"Successful"
"[[Very]] [[dissatisfied]]. [[Tried]] to use their [[car]] wash today. I [[pulled]] up until the red light told me to stop. [[During]] the [[first]] [[pass]] of the arms they [[hit]] the back of my [[car]] [[causing]] a [[small]] [[scratch]]. The [[arms]] then just stopped. I [[went]] in to [[tell]] them. Despite three people in uniform [[standing]] there no [[one]] [[knew]] how to \""""reset\"""" the [[arms]]. They [[also]] refused to [[refund]] my [[money]]. I was [[told]] \""""we don't do that. Here is a [[code]] to [[use]] the car wash when it is [[working]] again. You [[need]] to [[use]] it [[within]] a [[week]]\"""" so they want me to go","[[Extremely]] [[unfulfilled]]. [[Strived]] to use their [[auto]] wash today. I [[pulls]] up until the red light told me to stop. [[Throughout]] the [[upfront]] [[passing]] of the arms they [[slapped]] the back of my [[motors]] [[triggering]] a [[petite]] [[zilch]]. The [[bras]] then just stopped. I [[disappeared]] in to [[told]] them. Despite three people in uniform [[stand]] there no [[anybody]] [[hear]] how to \""""reset\"""" the [[weapon]]. They [[equally]] refused to [[reimburse]] my [[finances]]. I was [[reported]] \""""we don't do that. Here is a [[cryptography]] to [[used]] the car wash when it is [[worked]] again. You [[required]] to [[employs]] it [[inside]] a [[month]]\"""" so they want me to go",0.0006101131439208984,0.0006538033485412598,0,0,0,500,"Failed"
